revenue_rnk,rating_rank,product_id,recent_month_sale,cumulative_sale,total_sales,price,rating,ratings_total,rating_weighted_score,revenue,rating_range_id,price_range_id,availability_id,condition_id,is_new,is_fba,is_free_shipping,is_prime,cumulative_sale_percentage,top_selling_categories
284,126,62,50,107600,107600,309.0,3.9,3243.0,31.529793419417686,15450.0,3,4,1,3.0,1,0,1,0,1.0,Trivial Many
285,461,834,50,107600,107600,299.99,4.5,135.0,22.106946985812236,14999.5,1,3,1,1.0,1,0,1,0,1.0,Trivial Many
286,662,523,50,107600,107600,299.0,4.2,20.0,12.786994238438377,14950.0,2,3,1,1.0,1,0,1,0,1.0,Trivial Many
287,47,124,50,107600,107600,299.0,4.2,4912.0,35.69848813510832,14950.0,2,3,1,4.0,1,0,1,0,1.0,Trivial Many
288,377,320,50,107600,107600,295.95,4.1,449.0,25.047915089333898,14797.5,2,3,1,3.0,1,1,1,0,1.0,Trivial Many
289,263,522,50,107600,107600,288.95,4.3,608.0,27.570818551152556,14447.5,2,3,1,1.0,1,0,1,0,1.0,Trivial Many
290,464,837,50,107600,107600,269.99,4.5,135.0,22.106946985812236,13499.5,1,3,1,1.0,1,0,1,0,1.0,Trivial Many
291,458,831,50,107600,107600,269.99,4.5,135.0,22.106946985812236,13499.5,1,3,1,1.0,1,0,1,0,1.0,Trivial Many
292,257,15,100,101400,107600,134.56,4.4,554.0,27.803459700484314,13456.0,2,2,1,3.0,1,0,1,0,0.942379,Trivial Many
293,742,858,50,107600,107600,268.88,0.0,0.0,0.0,13444.0,5,3,1,1.0,1,0,1,0,1.0,Trivial Many
294,585,28,100,101400,107600,130.44,4.1,42.0,15.420920474343605,13044.0,2,2,1,3.0,0,0,1,0,0.942379,Trivial Many
295,65,44,50,107600,107600,255.0,4.3,3357.0,34.91213360184119,12750.0,2,3,1,3.0,1,1,1,0,1.0,Trivial Many
296,310,224,50,107600,107600,235.42,4.5,350.0,26.373538005596394,11771.0,1,3,3,,1,1,0,1,1.0,Trivial Many
297,87,373,50,107600,107600,220.0,4.1,3698.0,33.684852946513054,11000.0,2,3,1,1.0,1,0,1,0,1.0,Trivial Many
