month,year,total_sale,total_revenue,total_monthly_sale_share_pct,total_monthly_revenue_share_pct,sale_rank_monthly,revenue_rank_monthly
1,2025,771000,222953749.99705,1.000008,0.999999999996,1,2
2,2025,232650,82954800.00375,0.999993,0.999999999997,11,10
3,2025,348350,102674949.99555,0.999995,0.999999999996,7,8
4,2025,364600,91504000.00365,0.999987,0.999999999997,6,9
5,2025,308200,103306050.0013,0.999987,1.0,8,7
6,2025,237950,73389350.0298,1.00001,1.000000000003,10,11
7,2025,517800,183763450.00365,0.999996,1.000000000008,3,4
8,2025,306000,113573550.00275,0.999989,0.999999999999,9,6
9,2025,225050,72958350.0006,0.999991,1.000000000007,12,12
10,2025,436600,157282649.9996,0.999993,1.000000000006,4,5
11,2025,418850,189314900.0012,0.999969,1.000000000001,5,3
12,2025,764400,287338349.99425,0.999982,1.000000000008,2,1
12,2024,522600,158723099.98505,1.000011,0.999999999996,1,1
