sales_rank,product_id,recent_month_sale,rating_rank,rating,price_range_id,availability_id,is_fba,is_prime,condition_id,leaf_category
558,361,0,439,4.1,4.0,1,0,0,3.0,13.0
559,362,0,440,4.1,4.0,1,0,0,3.0,13.0
164,363,100,437,4.1,4.0,1,0,0,3.0,13.0
554,364,0,434,4.1,4.0,1,0,0,3.0,13.0
556,365,0,436,4.1,4.0,1,0,0,3.0,13.0
555,366,0,435,4.1,4.0,1,0,0,3.0,13.0
385,367,0,118,4.1,3.0,1,1,1,1.0,14.0
384,368,0,117,4.1,3.0,1,0,0,1.0,14.0
223,369,50,116,4.1,3.0,1,0,0,1.0,14.0
132,370,100,115,4.1,3.0,1,1,1,1.0,14.0
549,371,0,426,4.3,,2,0,1,,13.0
479,372,0,307,4.3,6.0,1,0,0,4.0,1.0
222,373,50,114,4.1,3.0,1,0,0,1.0,14.0
383,374,0,113,4.1,2.0,1,0,0,1.0,14.0
131,375,100,112,4.1,3.0,1,0,0,1.0,14.0
80,376,300,273,4.2,6.0,1,0,0,1.0,14.0
588,377,0,487,4.6,,2,0,1,,12.0
3,378,10000,35,4.4,2.0,1,1,1,1.0,12.0
5,379,4000,34,4.4,2.0,1,1,1,1.0,12.0
1,380,10000,21,4.4,2.0,1,1,1,1.0,12.0
478,381,0,301,4.3,4.0,1,0,0,1.0,14.0
251,382,50,300,4.3,4.0,1,0,0,,14.0
250,383,50,299,4.3,4.0,1,0,0,1.0,14.0
47,384,500,298,4.3,4.0,1,0,0,,14.0
636,385,0,563,4.6,,2,0,1,,14.0
902,386,0,900,5.0,,2,0,1,,1.0
134,387,100,131,4.2,4.0,1,0,0,3.0,14.0
224,388,50,132,4.2,5.0,1,0,0,3.0,14.0
475,389,0,292,4.0,5.0,1,0,0,3.0,14.0
90,390,200,27,4.4,3.0,1,1,1,1.0,12.0
202,391,50,28,4.4,2.0,1,1,0,8.0,12.0
89,392,200,20,4.4,3.0,1,1,1,1.0,12.0
381,393,0,109,4.1,3.0,1,0,0,1.0,14.0
382,394,0,110,4.1,2.0,1,0,0,1.0,14.0
97,395,200,111,4.1,3.0,1,0,0,1.0,14.0
730,396,0,703,3.7,4.0,1,0,0,3.0,1.0
739,397,0,713,3.7,4.0,1,0,0,3.0,1.0
731,398,0,704,3.7,4.0,1,0,0,3.0,1.0
732,399,0,705,3.7,4.0,1,0,0,3.0,1.0
738,400,0,712,3.7,4.0,1,0,0,3.0,1.0
740,401,0,714,3.7,3.0,1,0,0,3.0,1.0
744,402,0,718,3.7,3.0,1,0,0,3.0,1.0
743,403,0,717,3.7,3.0,1,0,0,3.0,1.0
735,404,0,709,3.7,4.0,1,0,0,3.0,1.0
737,405,0,711,3.7,3.0,1,0,0,3.0,1.0
728,406,0,701,3.7,3.0,1,0,0,3.0,1.0
192,407,100,708,3.7,3.0,1,0,0,3.0,1.0
734,408,0,707,3.7,4.0,1,0,0,3.0,1.0
733,409,0,706,3.7,4.0,1,0,0,3.0,1.0
