product_id,total_sale,total_revenue,median_price,total_yearly_sale_share_pct,total_yearly_revenue_share_pct,total_sale_rank,total_revenue_rank,year
273,542500,173746500.027,320.0,0.110009,0.103358142479,1,1,2025
427,221500,116976999.996,525.0,0.044915,0.069587159628,6,2,2025
641,184000,93592000.0,499.0,0.037311,0.055675914445,8,3,2025
640,178000,90881000.004,499.0,0.036094,0.054063197506,9,4,2025
247,209600,89513800.0023,441.0,0.042505,0.053249878949,7,5,2025
6,344000,60904000.009,176.0,0.069755,0.03623051002,2,6,2025
930,42000,56993000.0,1350.0,0.008517,0.033903938285,30,7,2025
663,40700,56904399.997,1374.0,0.008252,0.033851232007,31,8,2025
380,284000,52421000.0,197.5,0.057588,0.031184151541,3,9,2025
646,102000,49662000.0,479.0,0.020683,0.02954288041,13,10,2025
256,104000,44634000.0,429.0,0.199006,0.281206705288,12,11,2024
169,109000,42495500.0025,383.0,0.0221,0.025279680128,11,12,2025
256,89000,39776000.0,431.8,0.018049,0.023661906712,16,13,2025
277,223000,38837000.0,179.0,0.045219,0.023103315342,5,14,2025
248,99200,28806799.995,299.0,0.020116,0.01713656009,14,15,2025
427,54000,26540999.994,491.25,0.103331,0.167215736062,24,16,2024
22,249100,25949799.9938,96.666667,0.050515,0.015436990813,4,17,2025
378,149000,25395000.0,160.0,0.030215,0.015106951956,10,18,2025
376,27800,23655000.003,842.25,0.005637,0.014071862515,43,19,2025
107,43000,21189499.9991,500.0,0.00872,0.01260518836,28,20,2025
664,37150,18997800.0,553.0,0.007532,0.011301392078,33,21,2025
249,67500,18920900.0,280.0,0.013688,0.011255645884,19,22,2025
743,6850,18257500.0,2699.0,0.001388,0.010861003164,94,23,2025
340,90000,17468999.991,191.0,0.172217,0.110059594304,15,24,2024
340,77000,15238000.0,198.0,0.015613,0.00906476605,17,25,2025
569,5900,15091700.0,2599.0,0.0012,0.008977735257,100,26,2025
652,25500,15006500.0,600.0,0.005171,0.008927051564,46,27,2025
6,70000,14112000.0,201.5,0.133945,0.088909553816,18,28,2024
88,29500,13600600.0002,449.0,0.005987,0.008090711194,41,29,2025
928,8500,11867300.0,1452.75,0.001725,0.00705960744,83,30,2025
393,55100,11456500.0005,205.0,0.011171,0.00681523115,23,31,2025
255,33000,10829000.0,329.0,0.006692,0.006441944585,39,32,2025
276,8200,10166399.9998,1237.5,0.001664,0.006047777765,85,33,2025
627,18900,10067500.0,553.0,0.003831,0.005988944234,57,34,2025
153,27050,10008500.0,370.0,0.005485,0.005953846373,45,35,2025
269,35300,9888299.9996,282.0,0.007159,0.005882341919,34,36,2025
932,5100,9614100.0,1899.0,0.001035,0.005719226099,107,37,2025
100,34300,9433000.0019,277.0,0.006959,0.005611493513,37,38,2025
379,47000,9370000.0,199.0,0.089936,0.059033625231,26,39,2024
370,34850,8806849.9996,260.0,0.007067,0.005239010034,35,40,2025
463,15100,8668900.0,565.0,0.003062,0.005156946477,62,41,2025
613,17700,7890500.0,453.0,0.003589,0.00469389267,59,42,2025
