seller_type_id,total_records,month,year
2,10693,3,2025
1,629,5,2025
2,6192,12,2025
1,468,9,2025
2,13,10,2024
2,5,7,2024
1,1,2,2024
1,1,7,2024
1,422,2,2025
2,11382,4,2025
2,14728,11,2025
1,581,10,2025
2,4,9,2024
2,1,3,2024
2,9295,2,2025
2,10295,6,2025
1,638,6,2025
2,2,5,2024
1,2,9,2023
1,1,8,2024
1,335,12,2024
1,454,1,2025
2,11678,7,2025
1,527,7,2025
1,593,4,2025
1,3,9,2024
1,3,10,2024
2,9437,1,2025
2,12233,9,2025
2,14,8,2024
1,324,12,2025
1,592,11,2025
1,15,11,2024
1,1,6,2024
2,36,11,2024
2,5821,12,2024
2,11592,8,2025
2,13396,10,2025
1,652,3,2025
2,11038,5,2025
1,609,8,2025
1,1,5,2024
