seller_type_id,total_records,month,year
Amazon Seller,454,1,2025
Amazon Seller,468,9,2025
Amazon Seller,2,9,2023
Amazon Seller,335,12,2024
Amazon Seller,422,2,2025
3rd Party Seller,11382,4,2025
3rd Party Seller,11592,8,2025
Amazon Seller,581,10,2025
Amazon Seller,592,11,2025
3rd Party Seller,14728,11,2025
Amazon Seller,324,12,2025
3rd Party Seller,9295,2,2025
Amazon Seller,652,3,2025
3rd Party Seller,9437,1,2025
Amazon Seller,593,4,2025
Amazon Seller,1,5,2024
3rd Party Seller,11038,5,2025
3rd Party Seller,13396,10,2025
Amazon Seller,527,7,2025
3rd Party Seller,2,5,2024
3rd Party Seller,4,9,2024
Amazon Seller,1,2,2024
Amazon Seller,638,6,2025
Amazon Seller,15,11,2024
Amazon Seller,1,7,2024
3rd Party Seller,12233,9,2025
Amazon Seller,609,8,2025
3rd Party Seller,5,7,2024
Amazon Seller,1,8,2024
Amazon Seller,1,6,2024
3rd Party Seller,36,11,2024
3rd Party Seller,11678,7,2025
3rd Party Seller,14,8,2024
Amazon Seller,3,9,2024
3rd Party Seller,5821,12,2024
3rd Party Seller,10693,3,2025
Amazon Seller,629,5,2025
3rd Party Seller,10295,6,2025
3rd Party Seller,6192,12,2025
3rd Party Seller,13,10,2024
Amazon Seller,3,10,2024
3rd Party Seller,1,3,2024
