seller_id,seller_category,total_offers,catalog_selling_rank
1069,2,1,299
375,2,1,300
382,2,1,301
400,2,1,302
439,2,1,303
440,2,1,304
445,2,1,305
447,2,1,306
454,2,1,307
361,2,1,308
1071,2,1,309
1087,2,1,310
1090,2,1,311
1097,2,1,312
1101,2,1,313
1102,2,1,314
1120,2,1,315
994,2,1,316
946,2,1,317
953,2,1,318
957,2,1,319
966,2,1,320
968,2,1,321
970,2,1,322
171,2,1,323
983,2,1,324
1128,2,1,325
997,2,1,326
1015,2,1,327
1027,2,1,328
1047,2,1,329
1066,2,1,330
342,2,1,331
347,2,1,332
688,2,1,333
633,2,1,334
636,2,1,335
638,2,1,336
656,2,1,337
659,2,1,338
660,2,1,339
668,2,1,340
684,2,1,341
625,2,1,342
710,2,1,343
721,2,1,344
736,2,1,345
741,2,1,346
742,2,1,347
755,2,1,348
757,2,1,349
977,2,1,350
621,2,1,351
617,2,1,352
613,2,1,353
612,2,1,354
1217,2,1,355
1203,2,1,356
1184,2,1,357
1181,2,1,358
1171,2,1,359
1151,2,1,360
1140,2,1,361
1137,2,1,362
1133,2,1,363
1131,2,1,364
1130,2,1,365
2,2,1,366
493,2,1,367
478,2,1,368
463,2,1,369
142,2,1,370
943,2,1,371
126,2,1,372
115,2,1,373
114,2,1,374
93,2,1,375
83,2,1,376
67,2,1,377
59,2,1,378
58,2,1,379
41,2,1,380
35,2,1,381
130,2,1,382
304,2,1,383
294,2,1,384
291,2,1,385
284,2,1,386
274,2,1,387
269,2,1,388
267,2,1,389
249,2,1,390
240,2,1,391
204,2,1,392
195,2,1,393
190,2,1,394
183,2,1,395
181,2,1,396
178,2,1,397
498,2,1,398
936,2,1,399
924,2,1,400
907,2,1,401
906,2,1,402
905,2,1,403
903,2,1,404
886,2,1,405
885,2,1,406
871,2,1,407
852,2,1,408
847,2,1,409
844,2,1,410
840,2,1,411
788,2,1,412
608,2,1,413
512,2,1,414
568,2,1,415
537,2,1,416
602,2,1,417
120,2,0,418
497,2,0,419
443,2,0,420
680,2,0,421
539,2,0,422
242,2,0,423
705,2,0,424
978,2,0,425
1113,2,0,426
150,2,0,427
517,2,0,428
745,2,0,429
1162,2,0,430
1000,2,0,431
853,2,0,432
655,2,0,433
1046,2,0,434
1136,2,0,435
7,2,0,436
11,2,0,437
32,2,0,438
606,2,0,439
829,2,0,440
51,2,0,441
1201,2,0,442
352,2,0,443
808,2,0,444
226,2,0,774
161,2,0,775
174,2,0,776
176,2,0,777
186,2,0,778
197,2,0,779
207,2,0,780
210,2,0,781
220,2,0,782
225,2,0,783
158,2,0,784
236,2,0,785
243,2,0,786
246,2,0,787
247,2,0,788
251,2,0,789
259,2,0,790
260,2,0,791
278,2,0,792
289,2,0,793
383,2,0,794
316,2,0,795
328,2,0,796
330,2,0,797
332,2,0,798
341,2,0,799
353,2,0,800
364,2,0,801
366,2,0,802
380,2,0,803
292,2,0,804
394,2,0,805
402,2,0,806
403,2,0,807
409,2,0,808
420,2,0,809
421,2,0,810
429,2,0,811
438,2,0,812
451,2,0,813
686,2,0,814
1212,2,0,815
616,2,0,816
620,2,0,817
630,2,0,818
644,2,0,819
665,2,0,820
667,2,0,821
683,2,0,822
685,2,0,823
1206,2,0,824
695,2,0,825
706,2,0,826
709,2,0,827
715,2,0,828
725,2,0,829
726,2,0,830
733,2,0,831
750,2,0,832
754,2,0,833
1141,2,0,834
299,2,0,835
1077,2,0,836
1079,2,0,837
1093,2,0,838
1096,2,0,839
1114,2,0,840
1127,2,0,841
1129,2,0,842
1139,2,0,843
313,2,0,844
1142,2,0,845
1156,2,0,846
1163,2,0,847
1165,2,0,848
1166,2,0,849
1180,2,0,850
1189,2,0,851
1198,2,0,852
561,2,0,853
510,2,0,854
519,2,0,855
521,2,0,856
522,2,0,857
533,2,0,858
540,2,0,859
542,2,0,860
543,2,0,861
549,2,0,862
508,2,0,863
562,2,0,864
570,2,0,865
578,2,0,866
585,2,0,867
589,2,0,868
592,2,0,869
599,2,0,870
607,2,0,871
922,2,0,872
109,2,0,873
15,2,0,874
20,2,0,875
33,2,0,876
36,2,0,877
44,2,0,878
46,2,0,879
61,2,0,880
66,2,0,881
82,2,0,882
937,2,0,883
127,2,0,884
129,2,0,885
136,2,0,886
151,2,0,887
467,2,0,888
477,2,0,889
480,2,0,890
482,2,0,891
488,2,0,892
836,2,0,893
781,2,0,894
785,2,0,895
787,2,0,896
796,2,0,897
809,2,0,898
817,2,0,899
820,2,0,900
