catalog_rank,seller_id,seller_type_id,selling_count,selling_share,rating_rank,stable_positive_pct
1,1148,1,3529853,0.822125,1199,0.0
2,202,2,85316,0.019871,1,0.792
3,1055,2,76255,0.01776,14,0.666
4,41,2,40901,0.009526,3,0.975
5,406,2,35420,0.00825,23,0.524
6,386,2,20885,0.004864,13,0.7310000000000001
7,184,2,16656,0.003879,47,0.889
8,774,2,16595,0.003865,598,0.21100000000000002
9,552,2,13546,0.003155,12,0.672
10,968,2,12899,0.003004,18,0.6419999999999999
11,1150,2,12812,0.002984,470,0.248
12,942,2,11835,0.002756,171,0.588
13,1203,2,10224,0.002381,5,0.9689999999999999
14,887,2,10061,0.002343,30,0.7490000000000001
15,1046,2,9122,0.002125,845,0.11200000000000002
16,266,2,8990,0.002094,21,0.8560000000000001
17,310,2,8538,0.001989,16,0.633
18,827,2,7353,0.001713,37,0.823
19,400,2,7315,0.001704,135,0.532
20,966,2,7101,0.001654,46,0.648
21,2,2,7041,0.00164,536,0.653
22,1131,2,6410,0.001493,97,0.413
23,229,2,6139,0.00143,42,0.841
24,1063,2,6071,0.001414,6,0.9540000000000001
25,286,2,5875,0.001368,17,0.897
26,447,2,5871,0.001367,428,0.698
27,816,2,5757,0.001341,650,0.25
28,998,2,5580,0.0013,104,0.619
29,71,2,5125,0.001194,4,0.91
30,26,2,4954,0.001154,201,0.5479999999999999
31,1151,2,4728,0.001101,824,0.14200000000000002
32,515,2,4425,0.001031,10,0.9490000000000001
33,614,2,4367,0.001017,935,0.086
34,992,2,4355,0.001014,629,0.258
35,377,2,4280,0.000997,449,0.27
36,591,2,4265,0.000993,734,0.16399999999999998
37,495,2,4073,0.000949,2,0.9670000000000001
38,1122,2,3931,0.000916,41,0.794
39,1003,2,3777,0.00088,84,1.0
40,1113,2,3769,0.000878,252,0.613
41,251,2,3669,0.000855,195,0.463
42,1091,2,3598,0.000838,861,0.2
43,952,2,3349,0.00078,263,0.607
44,331,2,3286,0.000765,277,0.6970000000000001
45,1208,2,3072,0.000715,32,0.9179999999999999
46,431,2,2997,0.000698,39,0.679
47,19,2,2879,0.000671,538,0.376
48,688,2,2817,0.000656,15,0.8969999999999999
49,348,2,2800,0.000652,898,0.15
50,801,2,2690,0.000627,26,0.852
51,484,2,2646,0.000616,40,0.8310000000000001
52,636,2,2609,0.000608,238,0.365
53,813,2,2497,0.000582,22,0.831
54,194,2,2479,0.000577,214,0.62
55,790,2,2367,0.000551,49,0.9109999999999999
56,744,2,2336,0.000544,11,0.998
57,1195,2,2298,0.000535,9,0.893
58,432,2,2215,0.000516,33,0.9159999999999999
59,371,2,2177,0.000507,412,0.506
60,977,2,2092,0.000487,130,0.99
61,989,2,2085,0.000486,44,0.998
62,557,2,2083,0.000485,28,0.9119999999999999
63,1075,2,2039,0.000475,695,0.295
64,200,2,2011,0.000468,7,0.975
65,28,2,1982,0.000462,8,0.852
66,313,2,1969,0.000459,187,0.7390000000000001
67,1115,2,1935,0.000451,185,0.725
68,204,2,1904,0.000443,27,0.727
69,872,2,1854,0.000432,52,0.7859999999999999
70,249,2,1826,0.000425,193,0.501
71,572,2,1797,0.000419,35,0.809
72,613,2,1749,0.000407,24,0.6609999999999999
73,506,2,1746,0.000407,372,0.41600000000000004
74,378,2,1724,0.000402,800,0.42
75,698,2,1710,0.000398,113,0.9009999999999999
76,414,2,1693,0.000394,19,0.992
77,1072,2,1492,0.000347,315,0.562
78,1051,2,1466,0.000341,143,0.8740000000000001
79,881,2,1465,0.000341,34,0.987
80,442,2,1454,0.000339,65,0.786
81,1048,2,1423,0.000331,557,0.462
82,1179,2,1372,0.00032,60,0.7559999999999999
83,1121,2,1367,0.000318,31,0.99
84,1024,2,1358,0.000316,552,0.33599999999999997
85,1022,2,1342,0.000313,107,0.8180000000000001
86,804,2,1321,0.000308,496,0.23700000000000002
87,333,2,1272,0.000296,346,0.9009999999999999
88,1070,2,1246,0.00029,69,0.718
89,637,2,1245,0.00029,36,0.866
90,534,2,1215,0.000283,50,0.8140000000000001
91,1186,2,1192,0.000278,216,0.616
92,580,2,1154,0.000269,435,0.425
93,411,2,1152,0.000268,91,1.0
94,686,2,1151,0.000268,414,0.53
95,1168,2,1142,0.000266,70,0.976
96,144,2,1138,0.000265,106,0.6990000000000001
97,189,2,1113,0.000259,122,0.976
98,78,2,1098,0.000256,117,0.8360000000000001
99,857,2,1065,0.000248,29,0.927
100,702,2,1058,0.000246,498,0.45399999999999996
101,104,2,1056,0.000246,300,0.5870000000000001
102,631,2,1031,0.00024,156,0.57
103,344,2,1007,0.000235,43,0.831
104,955,2,992,0.000231,77,0.9039999999999999
105,635,2,985,0.000229,384,0.763
106,645,2,980,0.000228,484,0.544
107,1209,2,974,0.000227,546,0.489
108,1118,2,963,0.000224,474,0.726
109,1089,2,954,0.000222,20,0.813
110,797,2,950,0.000221,103,0.755
111,914,2,946,0.00022,116,0.594
112,49,2,935,0.000218,45,1.0
113,171,2,934,0.000218,730,0.17600000000000002
114,710,2,926,0.000216,82,0.698
115,116,2,916,0.000213,88,0.875
116,561,2,911,0.000212,105,0.6970000000000001
117,647,2,909,0.000212,349,0.621
118,920,2,899,0.000209,128,0.613
119,270,2,865,0.000201,192,0.852
120,563,2,854,0.000199,646,0.446
121,209,2,850,0.000198,153,0.601
122,1133,2,847,0.000197,25,0.833
123,298,2,846,0.000197,385,0.546
124,143,2,838,0.000195,133,0.595
125,164,2,832,0.000194,183,1.0
126,931,2,830,0.000193,155,0.7709999999999999
127,1194,2,826,0.000192,73,0.877
128,842,2,817,0.00019,66,0.8569999999999999
129,904,2,772,0.00018,320,0.543
130,126,2,767,0.000179,706,0.214
131,585,2,766,0.000178,353,0.512
132,884,2,760,0.000177,161,0.755
133,337,2,753,0.000175,102,0.8439999999999999
134,972,2,733,0.000171,76,0.9740000000000001
135,302,2,714,0.000166,298,0.715
136,284,2,712,0.000166,257,0.5
137,496,2,710,0.000165,38,0.86
138,316,2,701,0.000163,115,0.6569999999999999
139,175,2,674,0.000157,971,0.134
140,527,2,665,0.000155,61,0.932
141,354,2,655,0.000153,303,0.5660000000000001
142,322,2,629,0.000146,54,0.893
143,18,2,622,0.000145,167,0.623
144,151,2,615,0.000143,175,0.603
145,907,2,614,0.000143,234,0.525
146,1127,2,605,0.000141,190,0.986
147,682,2,591,0.000138,312,0.691
148,324,2,589,0.000137,288,0.599
