discount_rank,product_id,current_buyBox_price,prime_lowest_price,amazon_price,buyBox_new_shipping_price,new_price,discount_amount,discount_prct,price_range_id,discopunt_level_id
495,772,1699.99,1700.0,,,1700.0,-0.009999999999990905,-0.0005882387543450787,1,0
496,946,1348.99,1349.0,,,1349.0,-0.009999999999990905,-0.0007412953394755265,1,0
497,451,1149.99,1150.0,,,1150.0,-0.009999999999990905,-0.0008695727788929386,1,0
498,527,948.99,949.0,,949.0,949.0,-0.009999999999990905,-0.0010537518835805335,1,0
499,581,929.99,930.0,,,930.0,-0.009999999999990905,-0.0010752803793579399,1,0
500,852,899.99,900.0,,900.0,,-0.009999999999990905,-0.0011111234569262886,1,0
501,676,899.99,900.0,,900.0,900.0,-0.009999999999990905,-0.0011111234569262886,1,0
502,260,639.99,640.0,,,640.0,-0.009999999999990905,-0.0015625244144425545,1,0
503,925,639.99,640.0,,,640.0,-0.009999999999990905,-0.0015625244144425545,1,0
504,654,614.99,615.0,,,615.0,-0.009999999999990905,-0.0016260426998798202,1,0
505,827,599.99,600.0,,,600.0,-0.009999999999990905,-0.001666694444905899,1,0
506,784,589.99,590.0,,590.0,590.0,-0.009999999999990905,-0.00169494398209985,1,0
507,823,439.99,440.0,,440.0,440.0,-0.009999999999990905,-0.0022727789267917237,1,0
508,882,429.99,430.0,,,430.0,-0.009999999999990905,-0.002325635479892766,1,0
509,750,340.99,341.0,,,341.0,-0.009999999999990905,-0.0029326373207398766,1,0
510,244,309.99,310.0,,310.0,310.0,-0.009999999999990905,-0.003225910513239428,1,0
511,834,299.99,300.0,,300.0,300.0,-0.009999999999990905,-0.00333344444814524,1,0
512,358,289.99,290.0,,290.0,290.0,-0.009999999999990905,-0.003448394772230389,1,0
513,887,989.98,990.0,,,990.0,-0.01999999999998181,-0.0020202428331867117,1,0
514,502,579.95,580.0,,,580.0,-0.049999999999954525,-0.00862143288213717,1,0
515,489,579.95,580.0,,586.0,580.0,-0.049999999999954525,-0.00862143288213717,1,0
516,73,514.95,515.0,,515.0,515.0,-0.049999999999954525,-0.009709680551501024,1,0
517,72,449.95,450.0,,450.0,450.0,-0.05000000000001137,-0.011112345816204327,1,0
518,862,246.88,247.0,,,247.0,-0.12000000000000455,-0.048606610499029715,1,0
519,864,236.88,237.0,,,237.0,-0.12000000000000455,-0.05065856129686109,1,0
520,15,134.56,135.0,,135.0,135.0,-0.4399999999999977,-0.32699167657550365,1,0
521,455,1393.5,1394.0,,,1394.0,-0.5,-0.03588087549336204,1,0
522,542,599.0,599.5,,600.0,599.5,-0.5,-0.08347245409015025,1,0
523,70,448.95,449.5,,515.0,449.5,-0.5500000000000114,-0.12250807439581497,1,0
524,731,273.0,274.0,,274.0,274.0,-1.0,-0.3663003663003663,1,0
525,151,418.99,420.0,,423.0,420.0,-1.009999999999991,-0.2410558724551877,1,0
526,903,482.97,484.0,,484.0,486.0,-1.0299999999999727,-0.21326376379484702,1,0
527,83,73.97,75.0,,75.0,77.5,-1.0300000000000011,-1.392456401243749,1,0
528,324,370.0,371.5,,374.0,371.5,-1.5,-0.40540540540540543,1,0
529,160,549.0,550.67,,569.0,550.67,-1.669999999999959,-0.3041894353369689,1,0
530,728,349.0,351.0,,,351.0,-2.0,-0.5730659025787965,1,0
