discount_rank,product_id,buy_box_winner_price,other_offer_price,avg_buyBox_new_price,is_buy_box_amazon,recent_month_sale,median_sales_cat,discount_level,recommended_discount_pct,category_id,price_range_id,discount_amount
1,648,991.44,1255.0,1107.92,1,0,200.0,AGGRESSIVE,0.2,12,5,198.288
2,852,899.99,949.99,900.0,1,0,50.0,AGGRESSIVE,0.2,13,5,179.99800000000002
3,572,3998.05,,3949.5,1,0,400.0,AGGRESSIVE,0.1,14,6,399.80500000000006
4,576,3698.0,,3508.69,1,0,400.0,AGGRESSIVE,0.1,14,6,369.8
5,571,3048.0,,2993.62,1,0,400.0,AGGRESSIVE,0.1,14,6,304.8
6,574,3015.0,,2961.38,1,0,400.0,AGGRESSIVE,0.1,14,6,301.5
7,575,2648.0,,2614.78,1,0,400.0,AGGRESSIVE,0.1,14,6,264.8
8,573,2638.0,,2600.64,1,0,400.0,AGGRESSIVE,0.1,14,6,263.8
9,591,1299.99,,1245.4,1,0,50.0,AGGRESSIVE,0.1,13,6,129.999
10,619,1289.99,1409.58,1367.8,0,0,50.0,AGGRESSIVE,0.1,13,6,128.999
11,647,1166.0,1255.0,1105.11,1,0,200.0,AGGRESSIVE,0.1,12,6,116.60000000000001
12,644,1099.0,,1051.08,1,0,200.0,AGGRESSIVE,0.1,12,6,109.9
13,338,1049.99,1199.99,1124.78,0,0,50.0,AGGRESSIVE,0.1,13,6,104.99900000000001
14,284,39.99,,36.5,1,2000,2000.0,MEDIUM,0.08,11,1,3.1992000000000003
15,273,285.9,329.99,320.42,0,500,400.0,MEDIUM,0.06,14,3,17.153999999999996
16,416,220.49,,244.12,1,100,200.0,MEDIUM,0.06,12,3,13.2294
17,651,982.0,1080.24,983.4,1,0,200.0,MEDIUM,0.05,12,5,49.1
18,851,907.25,999.99,833.0,1,100,50.0,MEDIUM,0.04,13,5,36.29
19,643,789.0,885.0,864.41,1,50,200.0,SMALL,0.04,12,5,31.560000000000002
20,616,2399.99,,2373.47,1,200,400.0,MEDIUM,0.03,14,6,71.99969999999999
21,620,1279.0,1347.77,1311.56,0,0,50.0,MEDIUM,0.03,13,6,38.37
22,650,779.73,838.0,815.02,1,100,200.0,SMALL,0.03,12,5,23.3919
23,566,3299.0,3336.0,3126.86,1,300,400.0,MEDIUM,0.02,14,6,65.98
24,563,2616.0,2759.0,2573.97,1,100,400.0,MEDIUM,0.02,14,6,52.32
25,587,2049.0,2199.99,1856.46,1,200,50.0,SMALL,0.02,13,6,40.980000000000004
26,933,1729.0,1765.0,1760.0,0,100,400.0,SMALL,0.02,14,6,34.58
27,669,1150.0,1299.99,1140.18,0,50,50.0,MEDIUM,0.02,13,6,23.0
28,919,899.99,1199.99,853.67,1,50,50.0,SMALL,0.02,7,5,17.9998
29,761,2297.34,2194.0,2233.32,1,50,50.0,SMALL,0.01,13,6,22.9734
30,392,237.71,,256.0,1,200,200.0,NO_DISCOUNT,0.0,12,3,0.0
31,590,1099.99,1299.99,1261.4,0,50,50.0,NO_DISCOUNT,0.0,13,6,0.0
32,615,1899.99,2099.99,1900.0,1,100,50.0,NO_DISCOUNT,0.0,13,6,0.0
33,562,3599.05,3805.0,3570.21,1,500,400.0,NO_DISCOUNT,0.0,14,6,0.0
34,561,2239.0,2379.0,2226.93,1,400,400.0,NO_DISCOUNT,0.0,14,6,0.0
35,546,529.99,,536.45,1,100,50.0,NO_DISCOUNT,0.0,13,5,0.0
36,626,553.7,,574.13,1,500,400.0,NO_DISCOUNT,0.0,14,5,0.0
37,627,511.81,,550.33,1,500,400.0,NO_DISCOUNT,0.0,14,5,0.0
38,639,699.99,825.94,857.59,1,50,50.0,NO_DISCOUNT,0.0,7,5,0.0
39,640,559.99,592.0,554.71,1,1000,200.0,NO_DISCOUNT,0.0,12,5,0.0
40,641,562.99,589.0,552.59,1,1000,200.0,NO_DISCOUNT,0.0,12,5,0.0
41,642,689.2,734.0,701.52,1,200,200.0,NO_DISCOUNT,0.0,12,5,0.0
42,544,612.0,612.0,632.31,1,50,50.0,NO_DISCOUNT,0.0,7,5,0.0
43,543,1099.0,1099.0,1078.63,1,200,50.0,NO_DISCOUNT,0.0,7,6,0.0
44,645,849.0,878.0,854.76,1,200,200.0,NO_DISCOUNT,0.0,12,5,0.0
45,646,551.0,579.0,524.71,1,2000,200.0,NO_DISCOUNT,0.0,12,5,0.0
46,519,789.99,,763.92,1,100,50.0,NO_DISCOUNT,0.0,13,5,0.0
47,466,629.99,,638.07,1,50,50.0,NO_DISCOUNT,0.0,13,5,0.0
48,649,649.0,734.0,683.97,1,400,200.0,NO_DISCOUNT,0.0,12,5,0.0
49,379,199.99,,243.33,1,4000,200.0,NO_DISCOUNT,0.0,12,2,0.0
50,58,29.99,,35.0,1,200,200.0,NO_DISCOUNT,0.0,12,1,0.0
51,652,656.99,684.0,633.76,1,1000,200.0,NO_DISCOUNT,0.0,12,5,0.0
52,663,1398.0,1409.0,1382.98,0,500,400.0,NO_DISCOUNT,0.0,14,6,0.0
53,380,159.99,,192.48,1,10000,200.0,NO_DISCOUNT,0.0,12,2,0.0
54,715,992.48,992.48,994.41,1,500,500.0,NO_DISCOUNT,0.0,10,5,0.0
55,736,1379.99,1699.99,1412.32,1,100,50.0,NO_DISCOUNT,0.0,13,6,0.0
56,743,2779.0,2859.0,2812.29,0,100,50.0,NO_DISCOUNT,0.0,13,6,0.0
57,744,1458.16,1449.0,1461.92,1,100,50.0,NO_DISCOUNT,0.0,13,6,0.0
58,758,1379.99,1599.99,1380.0,1,50,50.0,NO_DISCOUNT,0.0,13,6,0.0
59,390,237.71,,241.02,1,200,200.0,NO_DISCOUNT,0.0,12,3,0.0
60,378,149.99,,179.81,1,10000,200.0,NO_DISCOUNT,0.0,12,2,0.0
61,153,299.99,,371.96,1,3000,400.0,NO_DISCOUNT,0.0,14,3,0.0
62,928,1449.0,1539.0,1507.13,1,500,400.0,NO_DISCOUNT,0.0,14,6,0.0
63,929,1692.0,1751.0,1712.89,1,500,400.0,NO_DISCOUNT,0.0,14,6,0.0
64,930,1449.0,1538.0,1520.93,1,1000,400.0,NO_DISCOUNT,0.0,14,6,0.0
65,931,1849.0,1968.0,1979.29,1,1000,400.0,NO_DISCOUNT,0.0,14,6,0.0
66,932,1825.0,1954.0,1968.92,1,500,400.0,NO_DISCOUNT,0.0,14,6,0.0
67,569,2649.0,2867.0,2606.57,1,300,400.0,NO_DISCOUNT,0.0,14,6,0.0
