asin,category_tree_path,category_name,category_level
B09V8FKRF4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B09V8FKRF4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B09V8FKRF4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B09V8FKRF4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B09V8FKRF4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DC6H443L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DC6H443L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DC6H443L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DC6H443L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DC6H443L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FPQ757Y6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FPQ757Y6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FPQ757Y6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FPQ757Y6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FPQ757Y6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DC6KMWJS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DC6KMWJS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DC6KMWJS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DC6KMWJS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DC6KMWJS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FPQ5NQ59,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FPQ5NQ59,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FPQ5NQ59,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FPQ5NQ59,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FPQ5NQ59,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FR1P4Q3H,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FR1P4Q3H,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FR1P4Q3H,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FR1P4Q3H,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FR1P4Q3H,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FR998JD9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FR998JD9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FR998JD9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FR998JD9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FR998JD9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B09R6FNNS1,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B09R6FNNS1,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B09R6FNNS1,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B09R6FNNS1,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B09R6FNNS1,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FCTFGTPY,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FCTFGTPY,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FCTFGTPY,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FCTFGTPY,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FCTFGTPY,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0F167PYK7,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0F167PYK7,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0F167PYK7,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0F167PYK7,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0F167PYK7,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FC2TJX5N,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FC2TJX5N,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FC2TJX5N,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FC2TJX5N,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FC2TJX5N,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B09P7WHLPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B09P7WHLPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B09P7WHLPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B09P7WHLPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B09P7WHLPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FGQRCZL3,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FGQRCZL3,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FGQRCZL3,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FGQRCZL3,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FGQRCZL3,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08SHN3TZP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08SHN3TZP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08SHN3TZP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08SHN3TZP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08SHN3TZP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B099FK2DMZ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B099FK2DMZ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B099FK2DMZ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B099FK2DMZ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B099FK2DMZ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08FPH8GP9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08FPH8GP9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08FPH8GP9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08FPH8GP9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08FPH8GP9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DM9SCLWD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DM9SCLWD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DM9SCLWD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
