asin,coupon_date,discount_coupon
B08F7FWZGG,2025-04-04,20
B08F7FWZGG,2025-05-09,4000
B08F7FWZGG,2025-05-16,20
B08F7FWZGG,2025-05-23,20
B08F7FWZGG,2025-07-18,15
B08F7FWZGG,2025-10-28,2000
B09XN6BQ5F,2025-02-14,7000
B09XN6BQ5F,2025-02-25,14000
B09XN6BQ5F,2025-02-28,10000
B09XN6BQ5F,2025-03-11,5000
B09XN6BQ5F,2025-03-13,5000
B09XN6BQ5F,2025-03-18,5000
B09XN6BQ5F,2025-03-21,5000
B0D7JQ4SV6,2024-06-19,10000
B0D7JQ4SV6,2024-09-02,10000
B0D7JQ4SV6,2024-09-06,12000
B0D7JQ4SV6,2024-10-06,8000
B0D7JQ4SV6,2024-10-21,10000
B0D7JQ4SV6,2024-10-26,5000
B0D7JQ4SV6,2024-11-04,10000
B0D7JQ4SV6,2024-12-06,10000
B0D7JQ4SV6,2024-12-23,10000
B0D7JQ4SV6,2025-01-26,11000
B0DZ74YQ1V,2025-07-06,2745
B0DZ74YQ1V,2025-12-08,4901
B0DZ74YQ1V,2025-12-11,4901
B0B9XHGC6W,2025-04-10,4000
B0B9XHGC6W,2025-04-22,4000
B0B9XHGC6W,2025-05-18,5000
B0D1YLTPH2,2025-04-21,6000
B0DLHDCN6P,2024-11-10,3600
B0DLHDCN6P,2024-11-10,4849
B0DLHDCN6P,2024-11-13,9167
B0DLHDCN6P,2024-11-14,8599
B0DLHDCN6P,2024-11-14,8700
B0DLHDCN6P,2024-11-17,8500
B0DLHDCN6P,2024-11-18,3500
B0DLHDCN6P,2024-11-18,18401
B0DT1MCQX9,2025-01-30,10000
B0DT1MJP2V,2025-01-29,8000
B0F7ZJGM6M,2025-05-20,15000
B0F8H24C4G,2025-05-15,10000
B0DHXNMHY1,2025-04-20,3500
B0DHXNMHY1,2025-05-12,6500
B09WJHLWHG,2025-07-16,5
B0FLF6H5KR,2025-09-27,4500
B0BJLBNNRT,2024-07-16,2000
B0BJLBNNRT,2024-12-03,3901
B0BJLBNNRT,2024-12-04,3401
B0BJLBNNRT,2024-12-05,3401
B0BJLBNNRT,2024-12-07,3401
B0BJLBNNRT,2025-03-03,4401
B0F97HPV4T,2025-05-21,10000
