asin,seller_id,seller_name,price,is_buybox_winner,seller_rating,seller_ratings_total,seller_positive_prct,condition,is_fba,is_new,is_prime,is_free_shipping
B00TREI0D4,A1AFLMIRO3MS2G,GS Global Management LLC,109.0,1,4.5,98.0,0.91,Refurbished - Excellent,0,0,0,1
B00TREI0D4,A1NI0M2K3LNEWY,A4C Online,95.96,0,3.5,26354.0,0.58,Refurbished - Acceptable,0,0,0,1
B00TREI0D4,A3J9LL0SKEEIO0,WirelessSource,95.96,0,5.0,2420.0,0.98,Refurbished - Acceptable,0,0,0,1
B00TREI0D4,ABVC263QFMN4G,PLATINUM DEALS,99.0,0,4.0,6305.0,0.81,Refurbished - Good,0,0,0,1
B00TREI0D4,A3G98SNOIH3F0G,PDI Mobile,103.49,0,4.5,2123.0,0.91,Refurbished - Excellent,1,0,0,1
B00TREI0D4,ABVC263QFMN4G,PLATINUM DEALS,115.0,0,4.0,6305.0,0.81,Refurbished - Excellent,1,0,0,1
B00TREI0D4,A1L5A98SV4AB0F,Tek Galaxy,148.98,0,4.5,576.0,0.9,Refurbished - Excellent,0,0,0,1
B00TREI0D4,A26E7S4UED78O9,Levon3,129.0,0,2.5,11.0,0.36,Refurbished - Excellent,0,0,0,0
B00TREI0D4,A189O3BIZIY3WK,OEM ANEW,149.99,0,2.5,8.0,0.38,Refurbished - Excellent,0,0,0,1
B00TREI0D4,A1V7GQDZMI5BMP,Milo Certified Electronics,204.24,0,4.0,1387.0,0.77,Refurbished - Acceptable,0,0,0,1
B00TREI0D4,A1V7GQDZMI5BMP,Milo Certified Electronics,209.82,0,4.0,1387.0,0.77,Refurbished - Excellent,0,0,0,1
B0751N2Y78,A3MMFG4QMDSOPQ,Tech Pirate,194.99,1,4.5,362.0,0.86,Refurbished - Excellent,0,0,0,1
B0751N2Y78,A1EUQG8F5VSOTR,"USA Macs, LLC",124.99,0,4.5,177.0,0.93,Refurbished - Acceptable,0,0,0,1
B0751N2Y78,A598WWZT0V1MH,New Life Tech LLC,124.99,0,5.0,45.0,0.96,Refurbished - Acceptable,0,0,0,1
B0751N2Y78,A1NKG3EZ8M5P15,ALTA Deals,124.99,0,4.5,1895.0,0.91,Refurbished - Acceptable,0,0,0,1
B0751N2Y78,A1CS3440L4R89K,Powered By Tek,147.72,0,3.5,1816.0,0.55,Refurbished - Acceptable,0,0,0,1
B0751N2Y78,APOOES8P1X1ZJ,Certified Resellers,179.0,0,4.0,8887.0,0.77,Refurbished - Excellent,1,0,0,1
B0751N2Y78,A1V7GQDZMI5BMP,Milo Certified Electronics,195.0,0,4.0,1387.0,0.77,Refurbished - Excellent,1,0,0,1
B0751N2Y78,A1V7GQDZMI5BMP,Milo Certified Electronics,195.0,0,4.0,1387.0,0.77,Refurbished - Good,0,0,0,1
B0751N2Y78,A3J9LL0SKEEIO0,WirelessSource,199.0,0,5.0,2420.0,0.98,Refurbished - Excellent,0,0,0,1
B0751N2Y78,A37VHTD60S0G3C,BuySPRY,206.0,0,4.5,43021.0,0.91,Refurbished - Acceptable,1,0,0,1
B0751N2Y78,A189O3BIZIY3WK,OEM ANEW,259.99,0,2.5,8.0,0.38,Refurbished - Excellent,0,0,0,1
B075WXP4BN,A3MMFG4QMDSOPQ,Tech Pirate,109.99,1,4.5,362.0,0.86,Refurbished - Excellent,0,0,0,1
B075WXP4BN,ABVC263QFMN4G,PLATINUM DEALS,104.0,0,4.0,6305.0,0.81,Refurbished - Excellent,1,0,0,1
B075WXP4BN,ABVC263QFMN4G,PLATINUM DEALS,109.0,0,4.0,6305.0,0.81,Refurbished - Good,0,0,0,1
B075WXP4BN,A3J9LL0SKEEIO0,WirelessSource,109.0,0,5.0,2420.0,0.98,Refurbished - Acceptable,0,0,0,1
B075WXP4BN,AJ98EZ5BUNORU,SmartShopper LLC,109.63,0,2.0,115.0,0.31,Refurbished - Excellent,0,0,0,1
B075WXP4BN,A3J9LL0SKEEIO0,WirelessSource,115.0,0,5.0,2420.0,0.98,Refurbished - Excellent,0,0,0,1
