asin,brand,seller_id,seller_name,stock_availability,final_date,rating,ratings_total,price,is_prime,is_fba,is_new,is_amazon,5_star_count,5_star_prct,4_star_count,4_star_prct,3_star_count,3_star_prct,2_star_count,2_star_prct,1_star_count,1_star_prct
B09S4T2B35,‎Apple,A1TPN1MNYNC17T,Reuse Deals,In stock,2026-01-13,4.3,527.0,560.95,0,0,1,0,368.0,0.7,57.0,0.11,42.0,0.08,15.0,0.03,42.0,0.08
B0C6R13MWQ,‎Dell,A3R2SJ6OXUDNDY,JSM Computers,In stock,2026-01-13,4.1,298.0,255.0,0,0,1,0,196.0,0.66,35.0,0.12,17.0,0.06,14.0,0.05,32.0,0.11
B0BJLFB7MP,Apple,,,Out of stock,2026-01-13,4.8,35781.0,,1,0,1,0,31845.0,0.89,2504.0,0.07,715.0,0.02,0.0,0.0,715.0,0.02
B0D4S8KNSV,‎HP,A1W7BTWT18WZMR,PChome-1,In stock,2026-01-13,4.1,458.0,949.0,0,0,1,0,293.0,0.64,59.0,0.13,27.0,0.06,13.0,0.03,64.0,0.14
B0D1LV4S2R,‎Dell,,,Out of stock,2026-01-13,4.4,179.0,,1,0,1,0,132.0,0.74,17.0,0.1,10.0,0.06,3.0,0.02,14.0,0.08
B0F97HPV4T,HP,A1W88G88DY7GM,Maximus Computers (S/N Recorded),In stock,2026-01-13,4.2,1607.0,329.0,0,0,1,0,,,,,,,,,,
B0D1GSMKR3,STGSivir,A27Q4NXVM8ES3L,STG USA,In stock,2026-01-13,4.0,46.0,419.99,1,1,1,0,29.0,0.64,5.0,0.11,2.0,0.05,3.0,0.08,5.0,0.12
B0981784W3,‎Lenovo,,,Out of stock,2026-01-13,5.0,2.0,,1,0,1,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0FM9TGM4B,‎HP,A2BWHJMXWRZ2LP,Smartisan Tech,In stock,2026-01-13,3.9,31.0,1439.99,0,0,1,0,18.0,0.61,4.0,0.14,1.0,0.05,0.0,0.0,6.0,0.2
B0F636Z3NS,‎Apple,AR1FTLUUZC24W,Networkstore,In stock,2026-01-13,4.6,139.0,394.97,0,0,1,0,116.0,0.84,6.0,0.05,4.0,0.03,0.0,0.0,11.0,0.08
B0DVCZD19R,‎Skytech Gaming,ATVPDKIKX0DER,Amazon.com,In stock,2026-01-13,4.3,336.0,1899.99,1,1,1,1,235.0,0.7,30.0,0.09,33.0,0.1,3.0,0.01,33.0,0.1
B0D4XDM6BF,‎Apple,A26E7S4UED78O9,Levon3,In stock,2026-01-13,4.6,276.0,970.0,0,0,1,0,226.0,0.82,27.0,0.1,11.0,0.04,0.0,0.0,11.0,0.04
B08HM4BC6L,‎Apple,A1V7GQDZMI5BMP,Milo Certified Electronics,In stock,2026-01-13,3.8,1699.0,369.16,0,0,1,0,985.0,0.58,203.0,0.12,118.0,0.07,67.0,0.04,322.0,0.19
B0CYHJHWWS,‎Morostron,,,Out of stock,2026-01-13,5.0,2.0,,1,0,1,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0CH4N1VWK,‎HP,A228VADS2SZMAI,MaxE Computers LLC,In stock,2026-01-13,4.1,385.0,443.33,0,0,1,0,246.0,0.64,57.0,0.15,23.0,0.06,11.0,0.03,46.0,0.12
B0B7BS1V59,‎HP,A1ELWL8B9U1SUC,82 days,In stock,2026-01-13,4.2,444.0,399.0,0,0,0,0,297.0,0.67,48.0,0.11,39.0,0.09,4.0,0.01,53.0,0.12
B087WDWZJN,‎Lenovo,,,Out of stock,2026-01-13,4.7,3.0,,1,0,1,0,2.0,0.72,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
B0DZ75P1P9,Apple,ATVPDKIKX0DER,Amazon.com,In stock,2026-01-13,4.8,3577.0,982.0,1,1,1,1,3147.0,0.88,250.0,0.07,107.0,0.03,0.0,0.0,71.0,0.02
B0FXKDVB1K,‎Dell,A2FW5MFSBNIL29,e+space(SN Recorded),In stock,2026-01-13,,,1248.99,0,0,1,0,,,,,,,,,,
B0FCVPGXD7,‎ViprTech,A1XKWZ9P2LQDR5,ViprTech,In stock,2026-01-13,4.2,156.0,1199.99,0,0,1,0,106.0,0.68,15.0,0.1,12.0,0.08,7.0,0.05,14.0,0.09
B0CQKMSMD3,‎Samsung,ATVPDKIKX0DER,Amazon.com,In stock,2026-01-13,4.4,20723.0,220.49,1,1,1,1,15542.0,0.75,2279.0,0.11,1036.0,0.05,414.0,0.02,1450.0,0.07
B0FWK75NZ5,‎HP,,,Out of stock,2026-01-13,,,,1,0,1,0,,,,,,,,,,
B0DPKLJ4CV,‎Alienware,ATVPDKIKX0DER,Amazon.com,In stock,2026-01-13,4.1,74.0,2049.0,1,1,1,1,52.0,0.71,7.0,0.1,0.0,0.0,1.0,0.02,12.0,0.17
B08CVV21Z1,‎Apple,A3852GKURZX0AJ,Tech Exchangee,In stock,2026-01-13,4.4,2502.0,479.95,0,0,1,0,1901.0,0.76,250.0,0.1,75.0,0.03,50.0,0.02,225.0,0.09
B0FGB8RP92,‎HP,AWKX36MYDX543,ProTech PC,In stock,2026-01-13,4.7,67.0,699.99,0,0,1,0,51.0,0.77,12.0,0.18,3.0,0.05,0.0,0.0,0.0,0.0
B0F97BV11Q,‎HP,A3AVTUJQUVUCE0,WM TECH DEALS (SN RECORDED),In stock,2026-01-13,4.2,1607.0,299.0,1,1,1,0,1076.0,0.67,224.0,0.14,96.0,0.06,32.0,0.02,176.0,0.11
B0DW4C55TL,‎CyberpowerPC,A1U9HDFCZO1A84,Techno Intelligence,In stock,2026-01-13,4.5,713.0,1279.0,0,0,1,0,570.0,0.8,64.0,0.09,21.0,0.03,14.0,0.02,42.0,0.06
B0CNGL2NJZ,‎Samsung,ATVPDKIKX0DER,Amazon.com,In stock,2026-01-13,4.4,20723.0,237.71,1,1,1,1,15542.0,0.75,2279.0,0.11,1036.0,0.05,414.0,0.02,1450.0,0.07
B07FFC8MJ5,‎Apple,A3J9LL0SKEEIO0,WirelessSource,In stock,2026-01-13,4.2,145.0,184.0,0,0,1,0,101.0,0.7,13.0,0.09,7.0,0.05,4.0,0.03,18.0,0.13
B09RQ8T428,‎Apple,A1V7GQDZMI5BMP,Milo Certified Electronics,In stock,2026-01-13,4.0,1137.0,463.99,0,0,1,0,727.0,0.64,125.0,0.11,79.0,0.07,45.0,0.04,159.0,0.14
B0FJRGFZHQ,‎acer,AWKX36MYDX543,ProTech PC,In stock,2026-01-13,3.2,5.0,599.99,0,0,1,0,1.0,0.22,1.0,0.36,0.0,0.0,1.0,0.21,1.0,0.21
B0BFC1B7V5,‎Apple,,,Out of stock,2026-01-13,4.6,140.0,,1,0,1,0,109.0,0.78,19.0,0.14,4.0,0.03,2.0,0.02,4.0,0.03
B0B5BFP5RJ,‎Apple,A1V7GQDZMI5BMP,Milo Certified Electronics,In stock,2026-01-13,4.3,1394.0,379.97,0,0,1,0,1031.0,0.74,139.0,0.1,69.0,0.05,27.0,0.02,125.0,0.09
B08YKGZF7P,‎HP,A3KIWSNT21OJRD,Superdealstore,In stock,2026-01-13,4.4,4053.0,169.0,1,1,1,0,2837.0,0.7,607.0,0.15,202.0,0.05,121.0,0.03,283.0,0.07
B08TRNVCV8,Apple,A1V7GQDZMI5BMP,Milo Certified Electronics,In stock,2026-01-13,4.2,4912.0,393.0,0,0,1,0,3487.0,0.71,491.0,0.1,245.0,0.05,147.0,0.03,540.0,0.11
B0FGB1KYQX,‎Apple,AR1FTLUUZC24W,Networkstore,In stock,2026-01-13,4.6,167.0,729.97,0,0,1,0,141.0,0.85,13.0,0.08,3.0,0.02,0.0,0.0,8.0,0.05
B0BTV6ZHR5,‎Apple,A3852GKURZX0AJ,Tech Exchangee,In stock,2026-01-13,4.3,520.0,638.95,0,0,1,0,390.0,0.75,41.0,0.08,20.0,0.04,10.0,0.02,57.0,0.11
B0DZ74YQ1V,Apple,ATVPDKIKX0DER,Amazon.com,In stock,2026-01-13,4.8,3577.0,551.0,1,1,1,1,3147.0,0.88,250.0,0.07,107.0,0.03,0.0,0.0,71.0,0.02
B08WNF8FP6,‎Dell,A27Q4NXVM8ES3L,STG USA,In stock,2026-01-13,3.7,2890.0,429.99,0,1,1,0,1502.0,0.52,375.0,0.13,260.0,0.09,173.0,0.06,578.0,0.2
B09V6PZ5XR,‎Apple,A26E7S4UED78O9,Levon3,In stock,2026-01-13,4.0,1137.0,1100.0,0,0,1,0,727.0,0.64,125.0,0.11,79.0,0.07,45.0,0.04,159.0,0.14
B0F677P1WK,‎HP,,,Out of stock,2026-01-13,2.9,4.0,,1,0,1,0,1.0,0.26,1.0,0.28,0.0,0.0,0.0,0.0,1.0,0.46
B0DQ51QM23,‎NINGMEI,A3TOOROBJ2C1G,NINGMEI-PC,In stock,2026-01-13,4.4,100.0,581.99,0,0,1,0,75.0,0.75,11.0,0.11,3.0,0.03,4.0,0.04,7.0,0.07
B0F8Q64FQH,‎Skytech Gaming,,,Unknown,2026-01-13,3.6,548.0,,1,0,1,0,274.0,0.5,76.0,0.14,49.0,0.09,38.0,0.07,109.0,0.2
