asin,recent_sales
B0C6R13MWQ,0
B0D4S8KNSV,0
B0F97HPV4T,0
B0D1GSMKR3,0
B0FM9TGM4B,0
B0F636Z3NS,300
B0DVCZD19R,100
B0FL7CKLNJ,0
B08HM4BC6L,200
B0D4XDM6BF,0
B0B7BS1V59,0
B0CH4N1VWK,0
B0DZ75P1P9,0
B0FXKDVB1K,0
B0FCVPGXD7,0
B0CQKMSMD3,100
B0F6365NPR,0
B0DT1NZWQF,0
B0FGB8RP92,0
B0F97BV11Q,0
B0DW4C55TL,0
B0BSMX36ZK,0
B07FFC8MJ5,0
B0FJRGFZHQ,0
B0F639WKQP,400
B0DYF84ZNY,0
B0B5BFP5RJ,0
B08YKGZF7P,500
B0FLF8PMGW,0
B08TRNVCV8,0
B0F6Y4LH4Y,100
B0BTV6ZHR5,0
B0DT1MJP2V,300
B09V6PZ5XR,0
B0DQ51QM23,0
B0F8Q64FQH,0
B0CPNYHMY2,0
B0FL7F8LMG,100
B0FG9T8R2X,0
B0FWG9TCRQ,0
B0FL7FNGY7,0
B0F1PZTQFJ,0
B0DYF6YH5G,0
B0B2DSN5BF,0
B0F6396H27,0
B0DS1ZYY3S,0
B0B7C48BBY,0
B0D4RH2YK4,50
B0BFC7JNJK,0
B09XN8VN9S,0
B0B6523VBD,0
B0FGK2QHXV,0
B0FLF6C7FZ,0
B0C2ZKWQ7T,0
B0FM9XW649,0
B0BFC5M5ZQ,0
B0BSG6JDS9,0
B07SQFGKDF,100
B0FWD726XF,1000
B0FGK33RBS,0
B0CD2Y7N6P,0
B0F7313X8L,500
B0CPNY7F2R,0
B0F638LM26,0
B0BN1SLZ9F,500
B0DPKLJ4CV,200
B0F8Q6FLR4,100
B08CVV21Z1,0
B0DJ7NVWQ9,100
B09ZLVB1GP,0
B0B3W4GHM6,0
B09RQ8T428,400
B0FXH81M7L,0
B0CTPCTW66,300
B0FGB1KYQX,0
B0DZ74YQ1V,2000
B08WNF8FP6,0
B0FR1P4Q3H,50
B08NQ1S3BY,400
B07VL5QCWN,100
B0FMXXSGMJ,0
B0DSGHHHMC,0
B0BTV82GVD,50
B0B7C3VJ69,0
B0DZPDVKXJ,0
B0B651H51W,0
B0FN8TX8MX,0
B0FMXY6JZR,0
B09R6H1Z6H,300
B0B2DR9KSD,0
B0BJM3KXM7,0
B0FB6HV7J1,0
B0F8HBY5TC,0
B0B61RJPMR,0
B0D3JCPJGY,100
B0FNCGN7RF,0
B0D4XTQ9FY,0
B09V7DCPH6,0
B0CPNFJDKC,0
B0B7BZXL7B,0
B0FWD7QF6M,500
B0FCCS1Q1F,0
B0BCDNYJF8,0
B0DM9SCLWD,0
B0D4XNSK23,0
B0D4XQ695B,0
B0CD9NBZJR,0
B09R6FNNS1,3000
B08RSCFBML,50
B09S4T2B35,0
B0D6GQ4ZMQ,50
B0FGK3F8TN,0
B0CPP724HK,0
B08HY5QNTJ,50
B0DCWCTP6F,0
B0FLF4GNMJ,0
B0BN1VRT4T,100
B08CWNDDZV,0
B0BS4BP8FB,500
B0BFC5BF8H,500
B0C1TGD3NL,0
B08HP5PW29,0
B0FCCR6RTZ,0
B0FR6RC1Q7,0
B0CPP3WWKT,0
B0C1TFV3JZ,0
B0FBR1M9MW,50
B0FNCJZPTJ,0
B0B9X79L3K,0
B0F63922JN,0
B0FW4T3C8R,0
B09YDJB386,50
B08PV4GYCL,300
B0D4RH9TN7,100
B0D4XHSXGM,50
B0BSG52TV5,0
B08FMRY1S5,0
B0F63D6WS6,0
B0DYF967J8,0
B0C1KTCP1B,0
B0BRL6XHKW,0
B0FWFYVMSS,0
B0FCYMF9PH,50
B0FDB3STMB,50
B0FLF6PTZM,0
B0FX4V6SNG,100
B0B9X39XSN,0
B0CDQTSSTR,500
B08CVWWBBT,0
B0C2ZKQ5PC,0
B0FQ4KP73V,0
B08CVV1PND,50
B0D4XF3Z8K,0
B0DM72HCV4,0
B0FDQDPT9W,0
B0FD3BCV87,0
B0F97HR6GT,0
B0D4XK2CR8,0
B0D96GZQ39,0
B089B7ZQHW,0
B09GS4RCX3,0
B0D4XRPST5,50
B0D1Z3SYPZ,0
B0FXH78VJW,0
B0FG3JYXMS,0
B0DZ73TF31,0
B0CPP1Y5Y4,0
B0FJRG5SBW,0
B0B9X8TW69,0
B0DZ75FBFB,400
B0DS1ZDDD2,0
B07XQHL645,500
B0F2BH31HH,0
B09XN5W2KW,0
B0FLBX3QD1,0
B0DLHJZRF6,0
B0D4X9MSZC,0
B0F632BBZG,0
B0DLHMYX53,300
B0DT1MCQX9,100
B0DW48SNK2,0
B0F1DRF7CG,0
B075WXP4BN,300
B0CPL25J3W,200
B08R24F37Z,0
B0DCH2385H,0
B0F71R72PC,0
B0BFC19NWM,50
B0F3JMYBHS,0
B0CNGL2NJZ,200
B0BRQT9GN4,100
B0F9VVMYK4,0
B0F63BBRNQ,0
B08NGFCLMW,50
B0DCLH6VRT,0
B0CFWXW85V,0
B07GSL21XV,500
B0DZ75DNYQ,0
B0D4SBS34V,50
B0FM99531L,0
B0DWGZ6CGZ,0
B0C6QZDWR6,0
B0D4RFMKTP,50
B0CXGDNGRQ,0
B0CZRYV3PH,50
B09P7NNZ74,100
B0CPNZQ83M,0
B0DCGMV762,0
B0DWGMCRDY,0
B0F3BLZ2L7,0
B0BNCKSJVY,100
B08RJXSK6V,0
B0B651YPLB,0
B0F7PMSTHM,0
B0FWGK7F8L,0
B0FN9B26MG,50
B085RVS6FV,200
B0D4X54ZS7,0
B0FN9NWW62,0
B0F2TM49KQ,200
B0CXGBRF4N,0
B07VL5Q847,50
B07VMB557P,0
B0FJSHNJHR,0
B07BKBB4N5,1000
B0FHJ7GVQD,0
B0B8PBF53F,0
B0DWPQDLM5,500
B08PF8HCDJ,0
B0F8P3C11N,100
B0BVXWY8JP,0
B0F76MTKYK,1000
B07C3KHQD9,100
B0CKTZVB17,0
B0DCMPRRFD,50
B0B9SQXGGJ,0
B08156KB1B,0
B0CDQVXTT6,0
B0849P8F8T,0
B09XN6HNF8,50
B07HRYDNLZ,4000
B0C6QYF1TL,0
B0DRW6TPHK,0
B0FWGL23F8,0
B08ZNKZSJ6,50
B0FG7Y73T5,0
B0B48XF6G3,200
B0D4XF6G72,0
B0FLF6X6SF,0
B0D3JLLSMM,0
B09XN8SD8Y,0
B0C26627J7,0
B0FPQ7VV41,0
B0DY95P5RV,0
B0CHH1XQ8C,0
B0DYK2N8DC,0
B0CPP2477K,0
B0FCLQCW5W,0
B0DZ76RM7P,1000
B0F63672N6,0
B0CY4Y22HS,500
B0FSG9TTPB,0
B0BSMH3CVV,0
B0BZTG15JV,0
B0FNCD2V8C,0
B0FR9KVFQQ,2000
B0F1ZRVYZF,0
B0FN9C4Y3H,0
B0CH4LM9F1,0
B08CWS4KWZ,0
B0DS226Q9G,0
B0FPC3Q7VJ,0
B0B5BDFJDD,0
B0D953HXFZ,0
B08CWS3KFK,0
B0FH363X7N,0
B09XN6BQ5F,200
B08C1C6S5K,300
B0DM74NVB4,0
B0DLHDCN6P,400
B08CWMMBS8,0
B0FWD623D1,500
B0CXQCCZW1,100
B07YBJCMGN,0
B0FFTQRWLG,0
B0CH4JR5ZB,0
B0FSS5856W,0
B0FMYBZ9FK,0
B0DZPG8ZGV,0
B0FJRCTJSX,0
B0D3JLHQ8K,200
B0FXGXG7D4,0
B0F638SMYK,0
B0CN3W8FVY,0
B08TX75ML9,0
B0D4RH881B,100
B0B2DTFXNF,0
B0FLF392RD,0
B08F7FWZGG,0
B0DR2QCKNR,0
B0DDZH85XN,0
B0979MX4QC,0
B0F2BG3YFW,0
B07Y8K9RGT,0
B09XN7C5X2,0
B0B7BRXXMX,0
B0DLHJYRND,50
B0DWGPVV3X,0
B0C118YZ9C,0
B087SRTF4X,0
B0FLF7S7TD,0
B0DZPFT748,0
B0BJLBNNRT,1000
B0CPNXSKK7,0
B0BFC49NLY,0
B0CF63MF26,0
B0BTV9S49X,50
B0DF6SW1NL,200
B0DT1LZJK3,0
B08MSN18V8,100
B08NPH29YG,1000
B0D4X5CXMD,0
B0BFC2DKCF,0
B0DCGVYJLM,0
B0DCLCJZQM,0
B0B5916YP4,0
B0FGY6324J,0
B08NPTD73S,200
B0DZPGDMLC,0
B0BSN4K54V,2000
B0BSMKHZ7F,0
B089P1DVTQ,0
B0FQ54G79C,0
B0FSL28RDZ,0
B07N1TZS7P,100
B0F9VVTZ78,0
B0F63C3Q7J,50
B0CLHBW7DT,50
B0CNGC77Q7,50
B0CTPJ4NNC,100
B0BX4XF4MR,0
B0D4XBX5KZ,0
B0FR8FTK5Z,0
B0D4XN937Q,0
B0CF62H34N,200
B0FG8HLRZY,200
B0BRQTSC1C,0
B0FC6QVJ5B,0
B0FWD6SKL6,1000
B0DM6ZJMVP,0
B08P6TVN58,200
B0B5433V5C,100
