seller_id,seller_name,current_rating_count,total_rating_count,is_fba,negative_rating_90_days,negative_rating_60_days,negative_rating_30_days,positive_rating_30_days,positive_rating_60_days,positive_rating_90_days,rating_count_90_days,rating_count_60_days,rating_count_30_days,new_ownership_rate,used_ownership_rate
A1V7GQDZMI5BMP,Milo Certified Electronics,82,1369,1,23.0,31.0,50.0,46.0,67.0,75.0,299.0,81.0,50.0,15,0
AWU1OGIXPHML4,CorporateBuybacks,80,178,1,21.0,30.0,33.0,67.0,60.0,70.0,33.0,10.0,3.0,28,3
AZ9TJ2HPN5OMG,Gizmo Bing,89,467,0,10.0,11.0,0.0,100.0,89.0,90.0,20.0,19.0,10.0,15,0
A1K34D0MWWOSHO,IT5050,83,674,1,43.0,38.0,50.0,50.0,56.0,52.0,77.0,16.0,2.0,34,0
A3SP75J8YELV2S,United PC TEK,77,978,0,20.0,23.0,14.0,86.0,73.0,73.0,270.0,30.0,14.0,43,7
A2REJV54PTQ9HD,Wholesale Laptop Center,90,105,1,7.0,25.0,0.0,100.0,75.0,87.0,69.0,4.0,1.0,90,0
A32M0ASAOPBKQA,NorthTech(SN recorded),86,151,0,22.0,50.0,50.0,50.0,50.0,72.0,64.0,12.0,4.0,12,0
A228VADS2SZMAI,MaxE Computers LLC,88,1318,1,8.0,11.0,16.0,81.0,87.0,89.0,944.0,140.0,43.0,22,0
A2418NJT13DWHQ,Bervie Electronics,80,348,0,0.0,0.0,0.0,100.0,100.0,100.0,9.0,6.0,2.0,12,0
A38NQ511PUC45R,True Mart LLC,67,325,0,54.0,60.0,50.0,50.0,40.0,42.0,24.0,5.0,2.0,3,1
A2U36J003V7XWJ,ENVY TECH ELECTRONICS,95,1185,1,32.0,25.0,33.0,33.0,50.0,55.0,31.0,8.0,3.0,1,4
A1MT003OG7TKKD,BLUE DIMOND COMPUTER,95,64,1,5.0,16.0,0.0,100.0,84.0,95.0,63.0,19.0,3.0,62,0
A18IQME9OLKG4C,Coretek Computers Renewed,83,255,0,19.0,29.0,100.0,0.0,71.0,81.0,37.0,7.0,1.0,25,28
A2972IZ698YTGU,Elem Technologies AZ,95,971,0,25.0,25.0,0.0,0.0,50.0,67.0,12.0,4.0,0.0,0,17
APW7E20TJH1WH,Primie Sales,78,450,1,20.0,28.0,29.0,71.0,72.0,77.0,83.0,18.0,7.0,38,0
A2S7NNMLIL68VX,Gameg,44,55,0,58.0,58.0,50.0,50.0,42.0,35.0,26.0,12.0,8.0,0,0
AHXHYHROGVZRA,GainSaver,44,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A1685R6739O6PG,Mall of Americ (SN Recorded),96,816,1,0.0,0.0,0.0,100.0,100.0,100.0,54.0,14.0,4.0,20,26
A3OEEQX87HWYAA,Tech Overstock Supply,80,5,0,20.0,33.0,33.0,67.0,67.0,80.0,5.0,3.0,3.0,0,0
A2IX3RNQE846HA,"J-Tech Digital, Inc",99,31654,1,11.0,8.0,11.0,84.0,88.0,88.0,280.0,95.0,38.0,67,0
A1GPHE9L2B1AYL,RefurbChoice,66,1747,0,51.0,56.0,0.0,0.0,44.0,43.0,61.0,9.0,0.0,43,14
A16T6N9408NDU7,Tech deal (We Record Serial # ),92,2949,1,28.0,75.0,100.0,0.0,25.0,72.0,29.0,4.0,2.0,6,6
AMVHE14ROFK0J,Best4Sale【S/N Recorded】,62,157,1,44.0,40.0,60.0,40.0,50.0,50.0,34.0,10.0,5.0,12,7
AOVGK6UD66281,Holiday Prime Gift Store,91,1787,1,13.0,8.0,11.0,89.0,92.0,88.0,16.0,13.0,9.0,18,8
AEUVY7PHV1GTP,Keinzu,79,47,0,14.0,20.0,33.0,67.0,76.0,76.0,42.0,25.0,9.0,19,35
AOEQZ7ETAVQIO,LaptopTech Hub,79,886,1,27.0,18.0,71.0,29.0,77.0,67.0,119.0,39.0,7.0,10,7
A3M6I16HG4ZG61,Wind Electronics,78,23,0,42.0,0.0,0.0,100.0,100.0,58.0,12.0,3.0,1.0,4,57
A3JQ95S9PMJHL9,GMKtec-Direct,100,476,1,0.0,0.0,0.0,100.0,100.0,100.0,239.0,32.0,8.0,80,5
A3NKGHR9TS6QQY,DOLICA,92,821,1,34.0,8.0,13.0,88.0,92.0,61.0,80.0,13.0,8.0,42,0
AVUG6P9JI5KBX,Cilantro Tech,99,340,1,0.0,0.0,0.0,0.0,0.0,100.0,9.0,0.0,0.0,0,0
A3HM8JOD6DFQFJ,WL Distributors (SN Recorded),99,4512,1,0.0,0.0,0.0,100.0,100.0,100.0,114.0,27.0,13.0,29,2
A1ZGGB2Y1BT7ZE,Deal4U Store(Next Day shipping available),82,71,1,25.0,0.0,0.0,0.0,0.0,69.0,16.0,0.0,0.0,7,1
A2MTVV0FMAOCF1,BLZ Distributor,90,1793,1,13.0,17.0,38.0,63.0,78.0,82.0,77.0,23.0,8.0,3,0
A2VABM7U2TKEPF,Autofocus (We Record SN),94,34,1,0.0,0.0,0.0,100.0,100.0,100.0,6.0,1.0,1.0,16,0
A1RUYMOSQZGDK5,Orc Store,89,46,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0
A336NB6H16M84F,Server Technology,59,37,1,29.0,100.0,100.0,0.0,0.0,65.0,31.0,3.0,1.0,47,15
A2PAX7A9VNXQTJ,Alpha Tools INC,81,31,1,16.0,14.0,18.0,76.0,82.0,81.0,31.0,28.0,17.0,57,0
A17MC6HOH9AVE6,Adorama,95,582104,0,3.0,8.0,11.0,88.0,92.0,97.0,3085.0,885.0,396.0,35,1
A284PRV19Y1MTF,IPC-STORE✅,93,25758,1,17.0,26.0,31.0,69.0,74.0,82.0,295.0,54.0,13.0,3,0
AQH6BLIXB790D,NAMA Technology LLC,53,45,0,38.0,25.0,25.0,75.0,75.0,63.0,8.0,4.0,4.0,3,2
A2ZBRYNXXCIAR5,Super Prime (SN Recorded),92,2406,1,17.0,50.0,0.0,0.0,50.0,83.0,6.0,2.0,0.0,1,23
A18A938UBK28OZ,younworldwide,98,453,0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,3,2
AYO8X46F289IL,MichaelElectronics2 (We Record SN),94,3384,1,18.0,14.0,0.0,100.0,86.0,80.0,108.0,22.0,11.0,89,0
A1BLA4PO74TMAU,R3NEW,85,6529,0,11.0,20.0,38.0,63.0,78.0,87.0,242.0,45.0,16.0,32,13
