seller_id,brand,selling_count,avg_monthly_sale_rank
AKZMCWIYNER20,apple,26,4989
AKZMCWIYNER20,ultra pro,6,162559
AKZMCWIYNER20,samsung,1,534
A2A67V1SKOBD7F,hp,286,138495
A2A67V1SKOBD7F,dell,278,123038
A2A67V1SKOBD7F,msi,207,99226
A2A67V1SKOBD7F,lenovo,141,84056
A2A67V1SKOBD7F,asus,108,145583
A2A67V1SKOBD7F,acer,45,146756
A2A67V1SKOBD7F,alienware,34,107627
A2A67V1SKOBD7F,cyberpowerpc,19,114370
A2A67V1SKOBD7F,microsoft,18,142632
A2A67V1SKOBD7F,ibuypower,16,149285
A34UCSK9FQVKNX,dell,17,36156
A34UCSK9FQVKNX,lenovo,14,23177
A34UCSK9FQVKNX,microsoft,13,36913
A34UCSK9FQVKNX,hp,7,30892
A2REJV54PTQ9HD,lenovo,6,46673
A2REJV54PTQ9HD,dell,4,101551
A1U4879GZA4BL0,lenovo,103,9548
A1U4879GZA4BL0,oemgenuine,63,15709
A1U4879GZA4BL0,dell,37,10393
A1U4879GZA4BL0,hp,15,7151
A2GOOJYUMGK0WX,dell,6,4532
A2GOOJYUMGK0WX,hp,3,20743
A2GOOJYUMGK0WX,lenovo,1,236
A230ZFNKXE1WUD,apple,969,178495
A230ZFNKXE1WUD,samsung,34,64366
A230ZFNKXE1WUD,generic,3,0
A230ZFNKXE1WUD,google,1,316716
A1ELWL8B9U1SUC,hp,432,51938
A1ELWL8B9U1SUC,asus,143,117090
A1ELWL8B9U1SUC,lenovo,120,94310
A1ELWL8B9U1SUC,acer,59,93532
A1ELWL8B9U1SUC,lg,33,86413
A1ELWL8B9U1SUC,samsung,26,75964
A1ELWL8B9U1SUC,msi,15,185046
A1ELWL8B9U1SUC,nintendo,8,12939
A1ELWL8B9U1SUC,dell,1,45250
A1ELWL8B9U1SUC,playstation,1,3
A26E7S4UED78O9,apple,1710,32615
A26E7S4UED78O9,lg,8,790652
A26E7S4UED78O9,wacom,2,9793
A26E7S4UED78O9,apple computer,1,8685
A26E7S4UED78O9,beats,1,78035
A26E7S4UED78O9,generic,1,236741
A26E7S4UED78O9,ultimate ears,1,330452
AV7HIM883CB4S,dell,72,15062
AV7HIM883CB4S,lenovo,28,17217
A1NI0M2K3LNEWY,apple,188,50257
A1NI0M2K3LNEWY,otterbox,67,181079
A1NI0M2K3LNEWY,samsung,51,50052
A1NI0M2K3LNEWY,cisco,8,453892
A1NI0M2K3LNEWY,google,7,29028
A1NI0M2K3LNEWY,jbl,7,116042
A1NI0M2K3LNEWY,sony,7,83172
A1NI0M2K3LNEWY,beats,6,52392
A1NI0M2K3LNEWY,soundcore,5,47602
A1NI0M2K3LNEWY,ultimate ears,4,55582
