asin,title,rating,total_reviews,manufacturer,recent_month_sales,new_count,used_count,refurbished_count,availability_amazon,return_rate
B00I9HPIUS,"Dell OptiPlex 7020 MFF Mini Business Desktop Computer, 7000 Micro Form Factor, 14th Gen Intel 14-Core i5-14500T (Beat i7-13700T), 4GB DDR5 RAM, 256GB PCIe SSD, WiFi 6E, 2 DisplayPorts, HDMI, W11 Pro",5.0,1,Dell Computers,0,0,0,0,0,0
B00NSHLTVG,HP Stream K3Y87UA#ABA 11.6-Inch Laptop (Orchid Magenta),4.2,1075,HP,0,0,0,0,0,0
B00SRLVI78,"Dell Mini PC Computer, OptiPlex 7020 Micro Desktop pc for Bussiness & Home, Intel 6-Core i5-12500T (Beat i7-11700T), 4GB DDR5 RAM, 512GB PCIe SSD, WiFi 6E, HDMI + 2 DisplayPorts, Windows 11 Pro",4.8,20,Dell,0,0,0,0,0,0
B00TREI0D4,"Apple iPad Air 2, 16 GB, Space Gray (Renewed)",4.1,3554,Apple,200,6,3,0,0,0
B01KKJHQLQ,"HP All-in-One Desktop Computer, 21.5"" FHD Display, 8GB RAM, 1 TB SSD, Intel Celeron J4025, Webcam, Wi-Fi 6, Bluetooth, HDMI, Windows 11 Pro with Microsoft Office Lifetime License",4.4,586,hp,0,0,0,0,0,0
B0751N2Y78,"Apple Macbook Air 2017 with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",3.9,2234,Apple Computer,2000,14,17,0,0,0
B075WXP4BN,"Apple iPad with WiFi, 32GB, Silver (2017 Model) (Renewed)",4.2,376,Apple Computer,500,4,3,7,0,0
B078J5K6MD,"Apple 2017 iPad (9.7-inch, WiFi + Cellular, 32GB) - Space Gray (Renewed)",4.4,25224,Apple Computer,400,7,1,0,0,0
B078J5RGN4,"Apple 2017 iPad 9.7-inch, WiFi + Cellular, 32GB - Silver (Renewed)",4.4,25224,Apple Computer,100,1,1,2,0,0
B078YFCMF7,"Apple iPad Pro 10.5in with (Wi-Fi + Cellular) - 256GB, Gold (Renewed)",4.3,4166,Apple Computer,0,2,2,4,0,0
B079SJXFHR,"Apple 2017 iPad (9.7-inch, WiFi + Cellular, 32GB) - Gold (Renewed)",4.4,25224,Apple Computer,50,1,1,2,0,0
B07BBWNMZQ,"Apple iPad Pro 10.5in (2017) 256GB, Wi-Fi - Gold (Renewed)",4.3,4166,Apple Computer,50,2,3,5,0,0
B07BHXYCN6,"HP 24-Inch All-in-One Computer, Intel Core i5-8250U, 12GB RAM, 1TB Hard Drive, Windows 10 (24-f0060, White)",4.4,353,Hewlett Packard Office,0,0,2,0,0,0
B07BKBB4N5,"Apple iPad (5thGEneration) Wi-Fi, 128GB - Space Gray (Renewed)",4.4,25224,Apple Computer,1000,6,5,11,0,0
B07C3KHQD9,"Apple iPad with WiFi + Cellular, 128GB, Space Gray (2017 Model) (Renewed)",4.4,543,Apple Computer,50,1,1,2,0,0
B07DP3WJBM,"Apple iPad with WiFi + Cellular, 128GB, Gold (2017 Model) (Renewed)",4.4,175,Apple Computer,0,1,1,2,0,0
B07F93611L,"Apple iPad 9.7-inch Retina Display with WIFI, 32GB, Touch ID, 2017 Mode - Space Gray (Renewed)",4.4,25224,Apple Computer,500,6,2,0,0,0
B07FFC8MJ5,"Apple 2017 iPad (9.7-inch, WiFi + Cellular, 128GB) - Silver (Renewed)",4.2,144,Apple Computer,0,1,2,3,0,0
B07FSYF1DZ,"Apple MNED2LL/A 27-inch iMac Retina 5K Display, 3.8GHz Intel Core i5 Quad Core, 8GB RAM, 2TB Fusion Drive, Silver (Renewed)",4.3,163,Apple Computer,0,4,1,5,0,0
B07G9MSGML,"Apple 9.7in iPad (Early 2018, 32GB, Wi-Fi Only, Silver) MR7G2LL/A (Renewed)",4.4,11897,Apple,1000,16,2,19,0,0
B07G9N7J3S,"Apple 2018 iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)",4.4,11898,Apple,500,4,3,7,0,0
B07G9QNT6P,"Apple iPad Early 2018 (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",4.4,11897,Apple Computer,7000,8,12,20,0,0
B07GSL21XV,Apple IPad Air 2 WI-FI 64GB Space Gray (Renewed),4.2,3470,Apple Computer,1000,7,2,9,0,0
B07HRYDNLZ,"Apple iPad with WiFi, 128GB, Space Gray (2018 Model) (Renewed)",4.4,11898,Apple Computer,2000,9,2,11,0,0
B07KGJ3Z8H,"Apple Late-2018 MacBook Air with Core i5, 13-inch, 8GB RAM, 256GB (Renewed)",3.9,3171,Apple Computer (Direct),300,8,8,16,0,0
B07MB9DMT6,"HP 15.6"" Laptop Computer for College Student Home Study & Business, 4GB DDR4 RAM, 128GB PCIe SSD, Intel Processor (Beat i3-1115G4), FHD, WiFi 6, BT 5.3, Type-C, HDMI, Webcam, Silver, Windows 11 Pro",4.2,1076,hp,0,0,0,0,0,0
B07MRKNZMB,"Dell Inspiron All-in-One 23.8"" FHD Anti-Glare Touchscreen High Performance Desktop | Intel Quad Core i7-8700T 2.4GHz | 16GB DDR4 RAM | 512GB SSD Boot + 1TB HDD | Include Keyboard & Mouse | Windows 10",4.4,53,Dell Computers,0,0,0,0,0,0
B07N1TZS7P,"Dell Optiplex 3040 SFF Business Desktop PC, Core i3-6100 3.7GHz, 8GB RAM, 256GB Solid State Drive, HDMI, RJ45, Windows 11 Pro 64bit (Renewed)",4.0,38,Dell Computers,200,1,0,1,0,0
B07NPTCNSG,"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Space Gray (Renewed)",3.9,3171,Apple,500,10,10,20,0,0
B07NPTXDK7,"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Gold (Renewed)",3.9,3171,Apple,300,5,5,0,0,0
B07RG8KM2C,"SkyTech Blaze II Gaming Computer PC Desktop – Ryzen 5 2600 6-Core 3.4 GHz, NVIDIA GeForce GTX 1650 4G, 500G SSD, 8GB DDR4, RGB, AC WiFi, Windows 10 Home 64-bit",4.1,541,Brainstrom Corporation,0,0,0,0,0,0
B07SGH132Y,"HP 4NN56AA#ABA Pavilion 24-Inch All-in-One Computer, Intel Core i5-9400T, 12 GB RAM, 512 GB Solid State Drive, Windows 10 (24-Xa0032, Black)",4.6,577,HP,0,0,1,0,0,0
B07SQFGKDF,"Dell Desktop Computer Package Compatible with Dell Optiplex 7010 Intel Quad Core i5 3.2GHz, 8GB Ram, 500GB HDD, 19-inch LCD, DVD, WiFi, Keyboard, Mouse, Windows 11 Pro (Renewed)",3.9,822,Dell Computers,200,3,0,3,0,0
B07TLNQ8DM,"Dell OptiPlex 7470 All-in-One Computer - Intel Core i7-9700 - 16GB RAM - 256GB SSD - 23.8"" Display - Desktop",5.0,6,Dell,0,2,0,0,0,0
B07V9VZ36L,"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, Carbon Black (40GB RAM | 2TB SSD)",4.2,869,Dell,100,21,0,0,0,0
B07VL5Q847,"2019 Apple iPad Air 3rd Gen (10.5 Inch, Wi-Fi, 64GB) Gold (Renewed)",4.3,3318,Apple Computer,200,2,3,5,0,0
B07VL5QCWN,"Apple 2019 iPad Air (10.5-inch, WiFi, 64GB) - Silver (Renewed)",4.3,3318,Amazon Renewed,200,3,5,8,0,0
B07VMB557P,"Apple iPad Air 10.5"" (Early 2019) 256GB, WiFi Only - Silver (Renewed)",4.3,3319,Apple Computer,50,0,0,0,0,0
B07VMB5L3C,"Apple iPad Air (10.5-inch, Wi-Fi, 64GB) Space Gray (Renewed)",4.3,3318,Apple Computer,1000,5,14,19,3,0
B07VN96QB7,"Apple iPad Air (10.5-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",4.3,3318,Apple Computer,400,3,1,3,0,0
B07WLLR43R,"Dell Optiplex 7040 Micro Form Factor Desktop, Intel Quad Core i5 6500T 2.5Ghz, 16GB DDR4, 256GB NVMe SSD, Wi-Fi, HDMI, Windows 11 Pro (Renewed)",4.0,215,Dell Computers,50,8,0,8,0,0
B07XQHL645,"Apple 13.3 inches MacBook Air Retina display, 1.6GHz dual-core Intel Core i5, 256GB - Space Gray (Renewed)",3.9,3171,Apple,500,11,14,25,0,0
B07Y2CFLKY,"Apple 2019 iPad Air, 10.5-Inch, Wi-Fi + Cellular, 256GB - Gold (Renewed)",4.3,3318,Apple Computer,0,3,1,4,0,0
B07Y2CNCHX,"Apple iPad Air (10.5-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Renewed)",4.3,3318,Apple Computer,50,2,4,0,0,0
B07Y8K9RGT,"Apple 2018 MacBook Air with 1.6GHz Intel Core i5, 13-inch, 8GB RAM, 128GB SSD Storage, Silver (Renewed)",3.9,3171,Apple,0,5,5,11,0,0
B07YBGF3K6,"Apple iPad Air (10.5-inch, Wi-Fi + Cellular, 64GB) - Silver (Renewed)",4.3,3318,Apple Computer,0,2,3,0,0,0
B07YBGWKLK,"Apple iPad Air (10.5-inch, Wi-Fi + Cellular, 64GB) - Gold (Renewed)",4.3,3318,Apple Computer,0,3,1,4,0,0
B07YBHJK4W,"Apple 2019 iPad Air 3rd Gen, 10.5-inch, Wi-Fi + Cellular, 64GB, Space Gray (Renewed)",4.3,3318,Apple Computer,50,6,1,7,0,0
B07YBJCMGN,"Apple iPad Air (10.5-inch, Wi-Fi + Cellular, 256GB) - Silver (Renewed)",4.3,3318,Apple Computer,0,1,1,2,0,0
B07YS16M8D,"Lenovo Thinkpad X1 Extreme (2nd Gen) 20QV0009US 15.6"" IPS 1920 x 1080 HD Notebook - Core i7 9750H / 2.6 GHz - Win 10 Pro 64-bit - 16 GB RAM - 512 GB SSD - GTX 1650 Graphics",5.0,1,Lenovo,0,0,1,0,0,0
B08156KB1B,"Apple iMac 27-inch Retina 5K Desktop MK472LL/A - Intel Core i5 3.2GHz, 16GB RAM, 512GB SSD - Silver (Renewed)",4.2,63,Apple Computer,0,3,1,4,0,0
B0834D5RJP,"Apple Late 2018 MacBook Air with 1.6 GHz Intel Core i5 Dual-Core, 13 inch, 8GB RAM, 256GB SSD Silver (Renewed)",3.9,3171,Apple Computer,100,6,6,12,0,0
B0849GXV6L,"HP 24-inch All-in-One Touchscreen Desktop Computer, AMD Athlon Silver 3050U Processor, 4 GB RAM, 256 GB SSD, Windows 10 Home (24-df0030, White), Snow White",4.6,882,Hewlett Packard Office,0,0,0,0,0,0
B0849P8F8T,"HP 24-inch All-in-One Touchscreen Desktop Computer, AMD Ryzen 5 4500U Processor, 12 GB RAM, 512 GB SSD, Windows 10 Home (24-dp0160, Silver)",4.2,269,Hewlett Packard Office,0,2,0,0,0,0
B084G84TX9,"Lenovo IdeaCentre A340 24 Business AIO All in One Desktop Computer/ 23.8"" FHD Touchscreen/Intel Hexa-Core i5-9400T(Beats i7-6700)/ 8GB DDR4/ 512GB PCIe SSD/DVDRW/Windows 10 Pro",4.6,20,Lenovo,0,0,0,0,0,0
B084YRFX5R,"Apple Late 2018 MacBook Air 13.3-inch with 1.6GHz Intel Core i5, 16GB RAM, 512GB SSD Storage, Space Gray (Renewed)",3.9,3171,Apple Computer,100,4,3,0,0,0
B085274TF5,"HP Slim Desktop, AMD Athlon Gold 3150U, 8GB RAM, 256 GB SSD, Windows 11 (S01-aF0020, Black)",4.6,534,Hewlett Packard Office,0,0,0,0,0,0
B085RVS6FV,"Made for Amazon, Wireless Charging Dock for Amazon Fire HD 8 Plus (2022 & 2020 Releases)",4.5,10423,ANGREAT,200,1,0,0,0,0
B086R32BN2,"Lenovo 2020 Miix 630 12.3” FHD Thin & Light Touchscreen 2-in-1 Laptop Computer, Qualcomm Snapdragon 835 Processor, 4GB RAM, 128GB SSD, Backlit Keyboard, Dolby Atmos Audio, Win 10S, Gray",5.0,2,Lenovo,0,0,0,0,0,0
B0872J6K9K,"Apple 2018 MacBook Air with 1.6GHz Intel Core i5, 13-inch, 16GB RAM, 512GB SSD Gold (Renewed)",3.9,3171,Apple Computer,50,4,6,0,0,0
B087JYYMMV,"Apple 2018 MacBook Air with 1.6 GHz Intel Core i5, 13-inch, 8GB RAM, 512GB SSD, Space Gray (Renewed)",3.9,3171,Apple Computer,50,3,5,0,0,0
B087SRTF4X,"Apple 2018 MacBook Air with 1.6GHz Intel Core i5 (13.3-inch, 16GB RAM, 512GB SSD Storage) Silver (Renewed)",3.9,3171,Apple Computer,50,2,4,0,0,0
B087WDWZJN,"Lenovo IdeaCentre AIO 27"" Touch 256GB SSD 2TB HD (Intel Processor with Six Cores and Turbo 3.40GHz, 16 GB RAM, 256 GB SSD + 2 TB HD, 27"" QHD Touch, Win 10) Desktop All in One PC Computer A540-27ICB",4.7,3,Lenovo,0,0,0,0,0,0
B088NZ3V6Y,"HP 15.6"" FHD Windows 10 Pro Business Laptop Computer, Intel Celeron N4020 Processor, 8GB DDR4 RAM, 256GB SSD, 1-Year Office 365, Webcam, Wi-Fi, USB Type-C, RJ-45, 64GB Flash Drive",3.9,23,hp,0,0,0,0,0,0
B089B7ZQHW,"HP Pavilion 27-inch All-in-One Desktop, 10th Gen Intel i7-10700T Processor, 16 GB RAM, 1 TB SSD Storage, Full HD IPS Touchscreen, Windows 10 Home, Wireless Keyboard and Mouse Combo (27-d0080, 2020)",4.2,304,Hewlett Packard Office,0,1,3,0,0,0
B089P1DVTQ,"Apple Late 2018 13.3-inch MacBook Air with 1.6GHz Intel Core i5, 8GB RAM, 512GB SSD, Gold (Renewed)",3.9,3171,Apple Computer,50,4,6,0,0,0
B08BJDFZRF,"Dell Optiplex 9020 Small Form Factor Desktop with Intel Core i7-4770 Upto 3.9GHz, HD Graphics 4600 4K Support, 32GB RAM, 1TB SSD, DisplayPort, HDMI, Wi-Fi, Bluetooth - Windows 11 Pro (Renewed)",4.0,4018,Dell Computers,100,1,0,1,0,0
B08BTKWGVM,"Apple Late 2018 MacBook Air with 1.6GHz Intel Core i5, 13.3-inch, 8GB RAM, 512GB SSD Silver (Renewed)",3.9,3171,Apple Computer,0,4,5,0,0,0
B08C1C6S5K,"2020 Apple iPad Pro (12.9-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",4.4,2470,Apple Computer,300,3,1,4,0,0
B08CVV1PND,"Apple 2020 iPad Pro (12.9-inch, Wi-Fi, 128GB) - Space Gray (Renewed)",4.4,2470,Apple Computer,200,2,2,4,0,0
B08CVV21Z1,"Apple 2020 iPad Pro, 12.9-inch, Wi-Fi, 512GB, Silver (Renewed)",4.4,2470,Apple Computer,0,1,1,2,0,0
B08CVW3NW3,"2020 Apple iPad Pro (12.9-inch, Wi-Fi, 128GB) - Silver (Renewed)",4.4,2470,Apple Computer,50,2,1,3,0,0
B08CVWWBBT,"Apple 2020 iPad Pro (12.9-inch, Wi-Fi + Cellular, 512GB) - Space Gray (Renewed)",4.4,2470,Apple Computer,0,1,2,3,0,0
B08CWJZ8K5,"Apple 2020 iPad Pro 12.9-inch, Wi-Fi + Cellular, 256GB, Silver (4th Generation) (Renewed)",4.4,2470,Apple Computer,0,1,1,2,0,0
B08CWK4QC8,"2020 Apple iPad Pro (12.9-inch, Wi-Fi, 512GB) - Space Gray (Renewed)",4.4,2470,Apple Computer,0,1,2,0,0,0
B08CWMMBS8,"Apple 2020 iPad Pro, 12.9-inch, Wi-Fi, 256GB - Silver (Renewed)",4.4,2470,Apple Computer,0,3,2,5,0,0
B08CWNDDZV,"Apple 2020 iPad Pro 12.9-inch, Wi-Fi + Cellular, 1TB - Silver, 4th Generation (Renewed)",4.4,2470,Apple Computer,0,1,2,3,0,0
B08CWS3KFK,"Apple 2020 iPad Pro (12.9-inch, Wi-Fi, 1TB) - Space Gray (4th Generation) (Renewed)",4.4,2470,Apple Computer,0,1,1,2,0,0
B08CWS4KWZ,"Apple 2020 iPad Pro (12.9-inch, Wi-Fi, 1TB) - Silver (Renewed)",4.4,2470,Apple Computer,0,1,1,0,0,0
B08F7FWZGG,"Apple Mid 2017 iMac with 2.3GHz Dual-core Intel Core i5, 21.5-inch, 16GB RAM, 256GB SSD, Silver (Renewed)",4.3,9,Apple Computer,50,1,2,3,0,0
B08FG7S7G7,"Apple MacBook Pro (13-inch, 8GB RAM, 256GB SSD Storage, Magic Keyboard) - Space Gray (Renewed)",4.0,1631,Apple Computer,200,8,8,16,0,0
B08FMRY1S5,"Apple 2020 iPad Pro 12.9-inch, Wi-Fi + Cellular, 128GB - Space Gray (Renewed)",4.4,2470,Apple Computer,50,4,4,0,0,0
B08FPH8GP9,"Dell Chromebook 11 3100 11.6"""" Touchscreen Chromebook - HD - 1366 x 768 - Celeron - 4GB RAM - 32GB Flash Memory, Black (Renewed)",4.1,1596,Dell Computers,1000,10,1,11,0,0
B08H2B8NCY,"Apple Early 2019 iMac with 3.0GHz Intel Core i5, 27 inch Retina 5K Display, 8GB RAM, 1TB (Renewed)",4.2,345,Apple Computer,200,5,2,7,0,0
B08H2BNMT9,"Apple 2020 iPad Pro, 12.9-inch, Wi-Fi + Cellular, 512GB, Silver (Renewed)",4.4,2470,Apple Computer,0,2,3,5,0,0
B08H7Z96MJ,Apple MacBook Pro 13 Laptop Intel Core i5 1.4GHz 8GB RAM 256GB SSD Silver - MXK62LL/A,4.0,1631,Apple Computer,50,7,7,14,0,0
B08HH4RQM5,"Apple 2020 iPad Pro (12.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Renewed)",4.4,2470,Apple Computer,100,1,3,4,0,0
B08HHNXW8Y,"Apple 2020 MacBook Pro with 2.0GHz Intel Core i5, 13-inch, 16GB RAM, 512GB SSD Storage - Space Gray (Renewed)",4.0,1631,Apple,500,13,12,25,0,0
B08HM4BC6L,"2020 Apple MacBook Pro with 1.4 GHZ, Intel Core i5 (MXK52LLA, 13 Inches, 8GB RAM, 512GB SSD, Magic Keyboard) - Space Gray (Renewed)",4.0,1631,Apple Computer,200,4,5,0,0,0
B08HP5PW29,"Apple 2020 iPad Pro, 12.9-inch, Wi-Fi + Cellular, 1TB - Space Gray (4th Generation) (Renewed)",4.4,2470,Apple Computer,0,3,2,5,0,0
B08HY5QNTJ,"Apple 2020 MacBook Pro with 2.0GHz Intel Core i5 (13-inch, 16GB RAM, 1TB SSD Storage) - Space Gray (Renewed)",4.0,1631,Apple,50,7,11,18,0,0
B08LSDKY1N,"Apple Mid 2020 iMac with 3.3GHz 6 Core 10th Gen Intel Core i5, 27 inch Retina 5K, 8GB RAM, 512GB SSD (Renewed)",4.2,29,Apple Computer,0,7,3,0,0,0
B08MDNM284,"Apple iPad Air (10.9-inch, Wi-Fi, 256GB) - Space Gray",4.3,4791,Apple,400,6,3,9,0,0
B08MFRQF5C,"Apple 2020 iPad Air (10.9-inch, Wi-Fi, 64GB) - Silver (Renewed)",4.3,4791,Apple Computer,200,3,3,6,0,0
B08MSN18V8,"Apple iPad Air (10.9-inch, Wi-Fi, 64GB) - Rose Gold",4.3,4791,Apple,200,2,1,3,0,0
B08N6T81FB,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Latest Model, 4th Generation) (Renewed)",4.3,4791,Apple,50,1,3,4,0,0
B08N6TVXLL,Lenovo ThinkStation P340 30DH00J4US Workstation - 1 i7-10700 - 16 GB RAM - 1 TB SSD - Tower - Raven Black - Windows 10 Pro 64-bitNVIDIA Quadro P2200 5 GB Graphics - DVD-Writer - English (US) Keyboard,4.5,2,Lenovo Group Limited,0,0,0,0,0,0
B08NGFCLMW,"Apple 2020 iPad Air 10.9-inch, Wi-Fi, 256GB - Rose Gold (Renewed)",4.3,4791,Apple,50,2,2,4,0,0
B08NHSPCR6,"HP Chromebook 11A G8 Education Edition AMD A4-9120C 4GB DDR4-1866 SDRAM, 32GB eMMC 11.6-inch WLED HD Webcam Chrome OS (Renewed)",4.1,1027,hp,1000,18,10,27,0,0
B08NPH29YG,"Apple iPad Air 2020 (10.9-inch, Wi-Fi, 64GB) - Space Gray (Renewed)",4.3,4791,Apple,1000,5,6,11,0,0
B08NPTD73S,"Apple 2020 iPad Air (10.9-inch, Wi-Fi, 64GB) Green (Renewed)",4.3,4791,Apple Computer,200,6,3,9,0,0
B08NQ1S3BY,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 64GB) - Space Gray (Latest Model, 4th Generation) (Renewed)",4.3,4791,Apple Computer,400,1,2,3,0,0
B08NTTLSF3,"Apple 2020 iPad Air 10.9-inch, WiFi, 256GB, Sky Blue (Renewed)",4.3,4791,Apple,200,4,4,8,0,0
B08P6TVN58,"Apple 2020 iPad Air (10.9-inch, Wi-Fi, 64GB) - Sky Blue (Renewed)",4.3,4791,Apple,400,4,3,7,0,0
B08PF8HCDJ,"2020 Apple iPad Air (4th Generation) (10.9-inch, Wi-Fi + Cellular, 64GB) Green (Renewed)",4.3,4791,Apple Computer,50,1,0,1,0,0
B08PKZ98ZD,"Apple 2020 MacBook Air with Apple M1 Chip, 13-inch, 8GB RAM, 512GB SSD Storage Gold (Renewed)",4.3,2736,Apple,0,2,2,4,0,0
B08PNQTYV2,"Apple MacBook Air Late 2020 with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",4.3,2736,Apple Computer,1000,29,23,41,0,0
B08PV4GYCL,"Apple Late 2020 MacBook Air with Apple M1 Chip (13 inch, 8GB RAM, 256GB SSD) Silver (Renewed)",4.3,2736,Apple Computer,100,11,13,24,0,0
B08Q78RLMB,"Apple Late 2020 MacBook Air with Apple M1 Chip, 13-inch, 8GB RAM, 256GB SSD, Gold (Renewed)",4.3,2736,Apple Computer,300,10,7,17,0,0
B08R24F37Z,"Apple 2020 iPad Air 4th Gen (10.9 inch, Wi-Fi + Cellular, 256GB) Silver (Renewed)",4.3,4791,Apple Computer,0,1,2,3,0,0
B08R7PN4LG,"Apple 2020 iPad Air (4th Generation) 10.9-inch, Wi-Fi + Cellular, 64GB Rose Gold (Renewed)",4.3,4791,Apple,50,1,1,2,0,0
B08RJXSK6V,"Apple Mid 2020 iMac with 3.8GHz 8 Core 10th Gen Intel Core i7, 27-inch Retina 5K, 8GB RAM, 512GB SSD (Renewed)",4.1,81,Apple Computer,50,1,4,5,0,0
B08RSCFBML,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 64GB) - Sky Blue (Latest Model, 4th Generation) (Renewed)",4.3,4781,Apple Computer,50,0,0,0,0,0
B08S78PLRG,"Apple iPad Air (10.9-inch, Wi-Fi, 256GB) - Silver (Latest Model, 4th Generation) (Renewed)",4.3,4791,Apple Computer,50,2,3,5,0,0
B08SHN3TZP,"Dell Chromebook 11 3100 11.6"" Chromebook - 1366 x 768 - Celeron N4020-4 GB RAM - 16 GB Flash Memory - Chrome OS - Intel HD Graphics - English (US) Keyboard - Bluetooth (Renewed)",4.1,1596,Dell Computers,4000,13,5,18,0,0
B08SZ4X379,"Apple iPad Air (10.9-inch, Wi-Fi, 256GB) - Green (Latest Model, 4th Generation) (Renewed)",4.3,4791,Apple Computer,50,3,3,6,0,0
B08T1NZMPN,"Apple 2020 MacBook Air with M1 Chip 13-inch, 8GB RAM, 512GB SSD - Space Gray (Renewed)",4.3,2736,Apple Computer,0,6,4,10,0,0
B08TRNVCV8,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 256GB) - Rose Gold (Latest Model, 4th Generation) (Renewed)",4.3,4791,Apple Computer,0,1,2,3,0,0
B08TX75ML9,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 256GB) - Sky Blue (Latest Model, 4th Generation) (Renewed)",4.3,4791,Apple Computer,50,3,3,6,0,0
B08VGS2H3L,"2020 Apple MacBook Air with Apple M1 Chip 8-Core GPU (13-inch, 8GB RAM, 512GB SSD) Silver (Renewed)",4.3,2736,Apple,0,4,4,0,0,0
B08WKF5W7F,"HP 14"" Chromebook for Student and Business, HD Thin and Light Chromebook Laptop, Intel Celeron N4120, 4GB RAM, 192GB Storage (64GB eMMC+5ave 128GB Flash Memory), HDMI, Wi-Fi, Chrome Os, Rose Gold",4.6,20,hp,0,0,0,0,0,0
B08WNF8FP6,Dell Optiplex 7060 Micro MFF Desktop PC Intel i7-8700T 6-Cores 2.40GHz 32GB DDR4 New 1TB M.2 NVMe SSD WiFi BT HDMI New KB & Mouse Windows 11 Pro (Renewed),3.7,2851,Dell Computers,0,8,0,8,0,0
B08YKGZF7P,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",4.4,4028,Hewlett Packard,400,32,1,0,0,0
B08ZNKZSJ6,"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 64GB) - Silver (Renewed)",4.3,4791,Apple Computer,0,2,1,0,0,0
B094K32H2P,"Dell OptiPlex 7050 Micro Form Factor Desktop Computer, Intel Core i5-7500T Quad-Core Up to 3.3GHz, 16GB DDR4, 512GB Solid State Drive, Windows 11 Pro (Renewed)",4.3,91,Dell Computers,100,5,0,0,0,0
B09566SBGV,"SkyTech Shadow Gaming Computer PC Desktop - Ryzen 5 3600 6-Core 3.6GHz, 1660 Super 6G, 1TB SSD, 16GB DDR4 3000, RGB Fans, AC WiFi, Windows 10 Home 64-bit, Black",4.3,327,Brainstorm Corporation,0,0,0,0,0,0
B096HKN48X,"2021 Apple iMac with Apple M1 Chip with 8-core CPU (24-inch, 8GB RAM, 512GB SSD Storage) (QWERTY English) Green (Renewed)",4.2,504,Apple Computer,0,2,1,3,0,0
B0972HGQRC,"2021 Apple iMac with Apple M1 Chip with 8-core CPU (24-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Silver (Renewed)",4.2,504,Apple Computer,100,6,2,0,0,0
B0979LYGMS,"Apple 2021 iMac with Apple M1 Chip with 8-core CPU 24-inch, 8GB RAM, 256GB SSD Storage Blue (Renewed)",4.2,504,Apple Computer,100,4,1,5,0,0
B097KRTLSY,"HP Touchscreen Laptop Computer for College Student Home Study, 1-Year Office 365, 4GB DDR4 RAM, 512GB SSD, Intel Processor, 14 inch, WiFi 6, Bluetooth, Webcam, Type-C, HDMI, Pale Gold, Windows 11 S",5.0,4,hp,0,0,0,0,0,0
B097Z8D329,"Apple 2020 iPad Air (10.9-inch, Wi-Fi + Cellular, 256GB) - Green (Renewed)",4.3,4791,Apple Computer,0,2,3,5,0,0
B0981784W3,"Lenovo 2021 Newest IdeaPad 3 Laptop, 17.3"" HD+, Intel 10th Gen Core i5-1035G1(Beat i7-7500U), HDMI, Bluetooth, Wi-Fi, Webcam, Online Class, Windows 10 S, Abyss Blue, VAATE Buddle (8GB |256GB SSD)",5.0,2,Lenovo,0,0,0,0,0,0
