asin,type_id,avg_window,avg_value
B09V8FKRF4,0,avg,811.35
B09V8FKRF4,1,avg,770.78
B09V8FKRF4,2,avg,685.92
B09V8FKRF4,3,avg,56410.0
B09V8FKRF4,4,avg,899.99
B09V8FKRF4,7,avg,777.77
B09V8FKRF4,11,avg,2.0
B09V8FKRF4,12,avg,1.0
B09V8FKRF4,16,avg,43.0
B09V8FKRF4,17,avg,47.0
B09V8FKRF4,18,avg,771.42
B09V8FKRF4,19,avg,550.22
B09V8FKRF4,20,avg,749.99
B09V8FKRF4,32,avg,675.78
B09V8FKRF4,0,avg30,818.16
B09V8FKRF4,1,avg30,768.01
B09V8FKRF4,2,avg30,749.99
B09V8FKRF4,3,avg30,10792.0
B09V8FKRF4,4,avg30,899.99
B09V8FKRF4,7,avg30,769.49
B09V8FKRF4,11,avg30,1.0
B09V8FKRF4,12,avg30,1.0
B09V8FKRF4,16,avg30,42.0
B09V8FKRF4,17,avg30,60.0
B09V8FKRF4,18,avg30,769.33
B09V8FKRF4,20,avg30,749.99
B09V8FKRF4,32,avg30,749.98
B09V8FKRF4,0,avg90,766.86
B09V8FKRF4,1,avg90,775.63
B09V8FKRF4,2,avg90,749.99
B09V8FKRF4,3,avg90,22005.0
B09V8FKRF4,4,avg90,899.99
B09V8FKRF4,7,avg90,777.77
B09V8FKRF4,11,avg90,1.0
B09V8FKRF4,12,avg90,1.0
B09V8FKRF4,16,avg90,42.0
B09V8FKRF4,17,avg90,57.0
B09V8FKRF4,18,avg90,777.28
B09V8FKRF4,20,avg90,749.99
B09V8FKRF4,32,avg90,749.99
B09V8FKRF4,0,avg180,771.99
B09V8FKRF4,1,avg180,779.14
B09V8FKRF4,2,avg180,749.99
B09V8FKRF4,3,avg180,47954.0
B09V8FKRF4,4,avg180,899.99
B09V8FKRF4,7,avg180,788.44
B09V8FKRF4,11,avg180,1.0
B09V8FKRF4,12,avg180,1.0
B09V8FKRF4,16,avg180,42.0
B09V8FKRF4,17,avg180,54.0
B09V8FKRF4,18,avg180,780.33
B09V8FKRF4,20,avg180,749.99
B09V8FKRF4,32,avg180,750.01
B09V8FKRF4,0,avg365,811.35
B09V8FKRF4,1,avg365,770.78
B09V8FKRF4,2,avg365,685.92
B09V8FKRF4,3,avg365,56410.0
B09V8FKRF4,4,avg365,899.99
B09V8FKRF4,7,avg365,777.77
B09V8FKRF4,11,avg365,2.0
B09V8FKRF4,12,avg365,1.0
B09V8FKRF4,16,avg365,43.0
B09V8FKRF4,17,avg365,47.0
B09V8FKRF4,18,avg365,771.42
B09V8FKRF4,19,avg365,550.22
B09V8FKRF4,20,avg365,749.99
B09V8FKRF4,32,avg365,675.78
B0DC6H443L,1,avg,323.33
B0DC6H443L,2,avg,239.01
B0DC6H443L,3,avg,19905.0
B0DC6H443L,4,avg,388.99
B0DC6H443L,7,avg,340.52
B0DC6H443L,8,avg,288.99
B0DC6H443L,10,avg,331.65
B0DC6H443L,11,avg,1.0
B0DC6H443L,16,avg,42.0
B0DC6H443L,17,avg,453.0
B0DC6H443L,18,avg,323.63
B0DC6H443L,19,avg,238.99
B0DC6H443L,21,avg,238.99
B0DC6H443L,32,avg,238.99
B0DC6H443L,33,avg,288.99
B0DC6H443L,1,avg30,289.84
B0DC6H443L,2,avg30,239.0
B0DC6H443L,3,avg30,189.0
B0DC6H443L,4,avg30,389.0
B0DC6H443L,7,avg30,289.18
B0DC6H443L,11,avg30,1.0
B0DC6H443L,12,avg30,1.0
B0DC6H443L,16,avg30,42.0
B0DC6H443L,17,avg30,290.0
B0DC6H443L,18,avg30,289.19
B0DC6H443L,19,avg30,238.99
B0DC6H443L,21,avg30,239.0
B0DC6H443L,32,avg30,239.0
B0DC6H443L,1,avg90,290.63
B0DC6H443L,2,avg90,238.99
B0DC6H443L,3,avg90,1371.0
B0DC6H443L,4,avg90,389.0
B0DC6H443L,7,avg90,290.1
B0DC6H443L,11,avg90,1.0
B0DC6H443L,16,avg90,42.0
B0DC6H443L,17,avg90,406.0
B0DC6H443L,18,avg90,290.7
B0DC6H443L,19,avg90,238.99
B0DC6H443L,21,avg90,238.99
B0DC6H443L,32,avg90,238.99
B0DC6H443L,33,avg90,288.99
B0DC6H443L,1,avg180,290.39
B0DC6H443L,2,avg180,239.01
B0DC6H443L,3,avg180,6460.0
B0DC6H443L,4,avg180,389.0
B0DC6H443L,7,avg180,307.64
B0DC6H443L,8,avg180,288.98
B0DC6H443L,10,avg180,289.56
B0DC6H443L,11,avg180,1.0
B0DC6H443L,16,avg180,42.0
B0DC6H443L,17,avg180,490.0
B0DC6H443L,18,avg180,290.48
B0DC6H443L,19,avg180,238.99
B0DC6H443L,21,avg180,238.99
B0DC6H443L,32,avg180,238.99
B0DC6H443L,33,avg180,288.99
B0DC6H443L,1,avg365,323.33
B0DC6H443L,2,avg365,239.01
B0DC6H443L,3,avg365,19905.0
B0DC6H443L,4,avg365,388.99
B0DC6H443L,7,avg365,340.52
B0DC6H443L,8,avg365,288.99
B0DC6H443L,10,avg365,331.65
B0DC6H443L,11,avg365,1.0
B0DC6H443L,16,avg365,42.0
B0DC6H443L,17,avg365,453.0
B0DC6H443L,18,avg365,323.63
B0DC6H443L,19,avg365,238.99
B0DC6H443L,21,avg365,238.99
B0DC6H443L,32,avg365,238.99
B0DC6H443L,33,avg365,288.99
B0FPQ757Y6,1,avg,548.24
B0FPQ757Y6,3,avg,15496.0
B0FPQ757Y6,4,avg,1045.05
B0FPQ757Y6,7,avg,459.32
B0FPQ757Y6,11,avg,1.0
B0FPQ757Y6,16,avg,44.0
B0FPQ757Y6,17,avg,142.0
B0FPQ757Y6,18,avg,502.67
B0FPQ757Y6,33,avg,308.99
B0FPQ757Y6,1,avg30,333.08
B0FPQ757Y6,3,avg30,17089.0
B0FPQ757Y6,4,avg30,999.0
B0FPQ757Y6,7,avg30,332.92
B0FPQ757Y6,11,avg30,1.0
B0FPQ757Y6,16,avg30,40.0
B0FPQ757Y6,17,avg30,4.0
B0FPQ757Y6,18,avg30,332.98
B0FPQ757Y6,1,avg90,497.01
B0FPQ757Y6,3,avg90,14664.0
B0FPQ757Y6,4,avg90,1017.25
B0FPQ757Y6,7,avg90,420.08
B0FPQ757Y6,11,avg90,1.0
B0FPQ757Y6,16,avg90,43.0
B0FPQ757Y6,17,avg90,154.0
B0FPQ757Y6,18,avg90,463.22
B0FPQ757Y6,33,avg90,308.99
B0FPQ757Y6,1,avg180,548.24
B0FPQ757Y6,3,avg180,15496.0
B0FPQ757Y6,4,avg180,1045.05
B0FPQ757Y6,7,avg180,459.32
B0FPQ757Y6,11,avg180,1.0
B0FPQ757Y6,16,avg180,44.0
B0FPQ757Y6,17,avg180,142.0
B0FPQ757Y6,18,avg180,502.67
B0FPQ757Y6,33,avg180,308.99
B0FPQ757Y6,1,avg365,548.24
B0FPQ757Y6,3,avg365,15496.0
B0FPQ757Y6,4,avg365,1045.05
B0FPQ757Y6,7,avg365,459.32
B0FPQ757Y6,11,avg365,1.0
B0FPQ757Y6,16,avg365,44.0
B0FPQ757Y6,17,avg365,142.0
B0FPQ757Y6,18,avg365,502.67
B0FPQ757Y6,33,avg365,308.99
B0DC6KMWJS,1,avg,301.36
B0DC6KMWJS,2,avg,291.5
B0DC6KMWJS,3,avg,1916.0
B0DC6KMWJS,4,avg,396.46
B0DC6KMWJS,7,avg,322.14
B0DC6KMWJS,8,avg,294.95
B0DC6KMWJS,9,avg,291.99
B0DC6KMWJS,10,avg,301.19
B0DC6KMWJS,11,avg,1.0
B0DC6KMWJS,12,avg,1.0
B0DC6KMWJS,16,avg,42.0
B0DC6KMWJS,17,avg,436.0
B0DC6KMWJS,18,avg,301.3
B0DC6KMWJS,19,avg,294.12
B0DC6KMWJS,20,avg,289.8
B0DC6KMWJS,21,avg,275.06
B0DC6KMWJS,32,avg,286.07
B0DC6KMWJS,1,avg30,300.12
B0DC6KMWJS,2,avg30,290.61
B0DC6KMWJS,3,avg30,188.0
B0DC6KMWJS,4,avg30,399.0
B0DC6KMWJS,7,avg30,361.51
B0DC6KMWJS,9,avg30,290.56
B0DC6KMWJS,10,avg30,299.79
B0DC6KMWJS,11,avg30,2.0
B0DC6KMWJS,16,avg30,44.0
B0DC6KMWJS,17,avg30,270.0
B0DC6KMWJS,18,avg30,299.81
B0DC6KMWJS,20,avg30,290.56
B0DC6KMWJS,32,avg30,288.84
B0DC6KMWJS,1,avg90,299.4
B0DC6KMWJS,2,avg90,291.41
B0DC6KMWJS,3,avg90,199.0
B0DC6KMWJS,4,avg90,397.85
B0DC6KMWJS,7,avg90,367.55
B0DC6KMWJS,9,avg90,291.4
